Drug1_ID,Drug2_ID,Level,Y,class
DB0831,DB1359,Minor,2,14
DB0719,DB0092,Moderate,1,6
DB1102,DB0862,Moderate,1,4
DB1232,DB0626,Moderate,1,26
DB0535,DB0267,Moderate,1,15
DB0717,DB0789,Minor,2,57
DB1470,DB0555,Moderate,1,1347
DB1286,DB1064,Moderate,1,15
DB1312,DB0849,Major,0,5
DB0275,DB1554,Moderate,1,3
DB1345,DB1311,Moderate,1,5
DB1522,DB1346,Moderate,1,5
DB1129,DB0653,Moderate,1,15
DB0355,DB0082,Moderate,1,7
DB0598,DB1328,Minor,2,13
DB1468,DB0619,Moderate,1,1347
DB0996,DB1171,Moderate,1,15
DB0986,DB0285,Moderate,1,17
DB0274,DB0813,Minor,2,15
DB0479,DB0511,Major,0,5
DB0801,DB0298,Moderate,1,25
DB0656,DB0617,Moderate,1,17
DB0458,DB1063,Major,0,14
DB0476,DB0042,Moderate,1,7
DB0669,DB1047,Moderate,1,5
DB0198,DB0709,Moderate,1,5
DB1317,DB1019,Moderate,1,15
DB1282,DB0627,Moderate,1,5
DB0472,DB1103,Moderate,1,5
DB0601,DB0446,Moderate,1,37
DB0337,DB0843,Moderate,1,17
DB0096,DB0813,Moderate,1,17
DB1071,DB1190,Moderate,1,13478
DB1493,DB0627,Minor,2,1
DB1467,DB0928,Moderate,1,35
DB0387,DB0016,Moderate,1,7
DB0700,DB1519,Major,0,5
DB0482,DB0513,Moderate,1,17
DB0070,DB0691,Moderate,1,1347
DB0959,DB0936,Moderate,1,134
DB0404,DB1148,Moderate,1,78
DB1542,DB1210,Moderate,1,378
DB0142,DB1293,Moderate,1,7
DB0308,DB1483,Major,0,5
DB1550,DB0849,Moderate,1,57
DB0889,DB1228,Moderate,1,6
DB0412,DB0458,Major,0,1
DB1060,DB0078,Moderate,1,1
DB0369,DB1180,Minor,2,35
DB1487,DB0585,Major,0,56
DB0486,DB0901,Moderate,1,37
DB0311,DB0499,Moderate,1,137
DB0583,DB0860,Moderate,1,12
DB1258,DB1190,Moderate,1,13478
DB0230,DB0355,Moderate,1,7
DB0469,DB0678,Major,0,36
DB0608,DB1089,Moderate,1,5
DB1468,DB1531,Major,0,1347
DB0275,DB0298,Moderate,1,23
DB0407,DB0901,Moderate,1,37
DB1293,DB1349,Moderate,1,7
DB0979,DB0989,Moderate,1,7
DB0287,DB0007,Moderate,1,1
DB0589,DB0646,Minor,2,5
DB1242,DB1161,Moderate,1,5
DB0590,DB0603,Moderate,1,3
DB0411,DB0001,Moderate,1,7
DB0902,DB1280,Moderate,1,57
DB1294,DB0727,Moderate,1,38
DB0369,DB0074,Moderate,1,38
DB1098,DB1257,Moderate,1,45
DB1272,DB0871,Moderate,1,1
DB1297,DB0040,Moderate,1,1
DB1346,DB0130,Moderate,1,5
DB0458,DB0868,Moderate,1,12
DB0766,DB0765,Moderate,1,367
DB0146,DB0994,Minor,2,1
DB1162,DB1246,Major,0,5
DB0458,DB1201,Major,0,1
DB0527,DB0089,Minor,2,5
DB0823,DB0079,Minor,2,357
DB0984,DB1234,Moderate,1,1
DB0178,DB1348,Moderate,1,3
DB1316,DB0698,Major,0,6
DB0300,DB0267,Moderate,1,45
DB0187,DB0346,Moderate,1,1357
DB0602,DB1412,Moderate,1,4
DB0380,DB1558,Moderate,1,18
DB0078,DB0005,Major,0,5
DB0296,DB0709,Moderate,1,57
DB1423,DB0501,Moderate,1,17
DB0187,DB0798,Moderate,1,137
DB0075,DB0023,Moderate,1,56
DB0713,DB0147,Moderate,1,5
DB1372,DB0154,Moderate,1,25
DB0149,DB0837,Moderate,1,1347
DB0896,DB0102,Moderate,1,1
DB1536,DB0084,Moderate,1,15
DB1197,DB0346,Major,0,56
DB0589,DB1455,Moderate,1,5
DB1564,DB0690,Moderate,1,7
DB0799,DB0373,Moderate,1,5
DB0157,DB0588,Moderate,1,5
DB0549,DB0385,Moderate,1,5
DB0920,DB0145,Major,0,5
DB0944,DB0928,Moderate,1,5
DB0186,DB1108,Moderate,1,137
DB0400,DB1149,Moderate,1,1347
DB0916,DB0129,Moderate,1,4
DB0613,DB0446,Moderate,1,37
DB0831,DB0747,Moderate,1,248
DB1522,DB0863,Major,0,8
DB0690,DB0176,Moderate,1,57
DB0839,DB0529,Moderate,1,1
DB1170,DB1288,Moderate,1,5
DB0761,DB0209,Moderate,1,12
DB0365,DB1257,Moderate,1,5
DB0195,DB0311,Moderate,1,37
DB1471,DB0501,Minor,2,1347
DB0330,DB1374,Moderate,1,13
DB0072,DB1191,Moderate,1,13478
DB1069,DB1275,Major,0,2
DB0070,DB1397,Major,0,15
DB1401,DB1523,Moderate,1,7
DB0006,DB1192,Moderate,1,14
DB0268,DB0547,Moderate,1,38
DB0660,DB0223,Moderate,1,1
DB0941,DB0733,Moderate,1,8
DB0883,DB0921,Moderate,1,7
DB0912,DB0971,Major,0,5
DB1145,DB0346,Major,0,5
DB1005,DB0692,Moderate,1,1347
DB1003,DB0848,Major,0,1
DB1431,DB0389,Moderate,1,23
DB0901,DB1506,Moderate,1,37
DB1325,DB0797,Moderate,1,1
DB0914,DB0408,Moderate,1,7
DB0330,DB0588,Moderate,1,13
DB0678,DB0764,Major,0,6
DB0006,DB1468,Moderate,1,1347
DB0378,DB1446,Major,0,5
DB1340,DB0577,Moderate,1,12
DB0529,DB0611,Minor,2,137
DB1537,DB0267,Major,0,5
DB1490,DB0326,Moderate,1,37
DB0618,DB0609,Major,0,37
DB0149,DB0733,Major,0,13478
DB0472,DB0400,Moderate,1,13457
DB1148,DB0585,Moderate,1,58
DB0234,DB0056,Major,0,7
DB1461,DB1449,Moderate,1,18
DB0195,DB0369,Minor,2,3
DB0469,DB0717,Moderate,1,37
DB1464,DB1490,Moderate,1,37
DB0982,DB0446,Moderate,1,137
DB1019,DB1050,Moderate,1,57
DB1497,DB1427,Moderate,1,1
DB0831,DB0910,Moderate,1,14
DB0438,DB0855,Moderate,1,7
DB1535,DB0511,Moderate,1,5
DB1458,DB0272,Moderate,1,15
DB1464,DB0661,Moderate,1,1
DB1348,DB1429,Minor,2,2
DB0404,DB1175,Major,0,127
DB0543,DB0901,Moderate,1,37
DB0195,DB0690,Major,0,7
DB0503,DB1210,Moderate,1,378
DB1327,DB0942,Moderate,1,15
DB0778,DB0734,Moderate,1,8
DB1490,DB1473,Moderate,1,37
DB0008,DB1547,Moderate,1,2
DB1527,DB0698,Major,0,6
DB0095,DB1063,Moderate,1,4
DB0369,DB1136,Minor,2,3
DB0133,DB0709,Moderate,1,5
DB1192,DB1386,Moderate,1,14
DB0072,DB0187,Moderate,1,137
DB0371,DB0843,Moderate,1,1
DB0953,DB0402,Moderate,1,1347
DB0149,DB0720,Moderate,1,1347
DB0202,DB1042,Moderate,1,178
DB1190,DB0385,Major,0,13478
DB1486,DB1309,Moderate,1,2
DB0303,DB1447,Major,0,1
DB1231,DB0708,Major,0,5
DB0482,DB1210,Moderate,1,378
DB1136,DB0793,Major,0,5
DB0514,DB0501,Moderate,1,127
DB0778,DB0936,Moderate,1,34
DB0886,DB0567,Moderate,1,5
DB0195,DB0149,Moderate,1,1347
DB0042,DB1210,Moderate,1,378
DB0022,DB0219,Moderate,1,5
DB0224,DB1047,Major,0,5
DB0981,DB0060,Moderate,1,1
DB0354,DB1009,Moderate,1,5
DB0987,DB1190,Moderate,1,13478
DB1464,DB0361,Moderate,1,5
DB0844,DB1129,Moderate,1,1
DB0587,DB1492,Moderate,1,5
DB0044,DB0957,Moderate,1,5
DB0168,DB1257,Major,0,5
DB0149,DB0688,Moderate,1,1347
DB1377,DB0157,Moderate,1,5
DB0691,DB1108,Moderate,1,1347
DB0202,DB0482,Moderate,1,78
DB1056,DB0079,Moderate,1,15
DB0539,DB0400,Moderate,1,13457
DB1152,DB1102,Major,0,4
DB1422,DB1063,Moderate,1,346
DB0876,DB0973,Moderate,1,1278
DB0186,DB0364,Moderate,1,137
DB0155,DB0084,Minor,2,15
DB0498,DB0871,Moderate,1,12
DB0053,DB0543,Moderate,1,5
DB1124,DB1410,Moderate,1,3
DB1002,DB0367,Moderate,1,1
DB1101,DB1281,Moderate,1,1
DB0194,DB1389,Moderate,1,5
DB1451,DB0298,Moderate,1,2
DB1089,DB0367,Moderate,1,1
DB0191,DB0400,Moderate,1,1347
DB0332,DB0418,Moderate,1,8
DB0841,DB0840,Major,0,5
DB0786,DB0855,Moderate,1,17
DB1005,DB1402,Major,0,7
DB0299,DB1216,Moderate,1,1
DB0327,DB1051,Moderate,1,7
DB0660,DB0618,Moderate,1,1
DB0332,DB0113,Major,0,5
DB0412,DB0112,Major,0,7
DB1280,DB0171,Moderate,1,57
DB0823,DB0168,Moderate,1,37
DB1172,DB0871,Moderate,1,1
DB1429,DB0859,Moderate,1,2
DB0987,DB0186,Moderate,1,137
DB0347,DB1240,Minor,2,12
DB1175,DB1427,Major,0,12
DB1497,DB1147,Moderate,1,18
DB0877,DB1257,Major,0,5
DB0308,DB0275,Major,0,35
DB1419,DB1230,Major,0,5
DB0309,DB1316,Moderate,1,1
DB0606,DB0400,Moderate,1,1347
DB0883,DB0794,Moderate,1,7
DB0195,DB0375,Moderate,1,5
DB1368,DB1103,Moderate,1,5
DB1515,DB0872,Minor,2,1
DB1331,DB0110,Minor,2,25
DB0075,DB0603,Major,0,5
DB0352,DB0302,Minor,2,5
DB1550,DB0713,Moderate,1,57
DB0084,DB1446,Moderate,1,15
DB0745,DB0184,Moderate,1,57
DB0087,DB0375,Major,0,25
DB1398,DB1037,Minor,2,5
DB0010,DB1463,Moderate,1,1
DB1303,DB1506,Moderate,1,17
DB0982,DB1485,Moderate,1,17
DB1465,DB1443,Major,0,2
DB0177,DB0942,Moderate,1,13
DB1212,DB0285,Moderate,1,17
DB1493,DB1346,Moderate,1,15
DB0547,DB0192,Moderate,1,138
DB0368,DB0079,Moderate,1,35
DB1356,DB0303,Minor,2,5
DB0165,DB0717,Moderate,1,7
DB1473,DB1397,Moderate,1,5
DB1479,DB0267,Major,0,5
DB0400,DB0788,Moderate,1,13457
DB0606,DB1368,Moderate,1,7
DB0425,DB1112,Major,0,2
DB1488,DB1210,Moderate,1,378
DB0457,DB1446,Moderate,1,5
DB0202,DB1154,Moderate,1,78
DB0150,DB0287,Minor,2,1347
DB1493,DB0402,Minor,2,1347
DB0667,DB0838,Moderate,1,1
DB0910,DB1274,Moderate,1,1
DB0864,DB0626,Moderate,1,2
DB1046,DB1147,Moderate,1,8
DB0366,DB0942,Moderate,1,1
DB0329,DB0375,Moderate,1,5
DB0590,DB1001,Moderate,1,13
DB1282,DB1326,Major,0,5
DB0957,DB0792,Major,0,5
DB0068,DB0544,Moderate,1,1
DB1251,DB0484,Moderate,1,1
DB0308,DB1370,Moderate,1,5
DB1056,DB1394,Moderate,1,1
DB0304,DB0765,Moderate,1,17
DB1346,DB1296,Moderate,1,57
DB0304,DB0838,Major,0,1
DB1550,DB0560,Moderate,1,57
DB1425,DB0883,Moderate,1,7
DB0367,DB0044,Moderate,1,1
DB0518,DB0519,Moderate,1,2
DB1073,DB1523,Moderate,1,7
DB1278,DB0400,Moderate,1,1347
DB0876,DB1401,Moderate,1,1278
DB1019,DB1309,Moderate,1,25
DB1105,DB1514,Moderate,1,5
DB0186,DB1006,Moderate,1,137
DB0733,DB0415,Major,0,8
DB1204,DB0942,Major,0,1
DB1121,DB0664,Moderate,1,137
DB0060,DB0469,Moderate,1,3
DB1186,DB0368,Moderate,1,3
DB0317,DB0865,Minor,2,1
DB1401,DB0678,Major,0,67
DB1457,DB0283,Moderate,1,5
DB0930,DB0901,Moderate,1,37
DB0982,DB0033,Moderate,1,1
DB0477,DB1512,Moderate,1,1
DB1376,DB1093,Major,0,35
DB0754,DB0455,Moderate,1,5
DB1306,DB0185,Moderate,1,7
DB1127,DB0901,Moderate,1,37
DB0889,DB1346,Moderate,1,56
DB0848,DB0836,Major,0,1
DB1423,DB0175,Moderate,1,7
DB1296,DB1288,Moderate,1,57
DB1136,DB0342,Moderate,1,5
DB0264,DB0606,Moderate,1,57
DB0416,DB1351,Moderate,1,8
DB0042,DB0901,Moderate,1,37
DB0656,DB0936,Moderate,1,134
DB1203,DB0811,Moderate,1,57
DB1296,DB0660,Moderate,1,17
DB0355,DB0392,Moderate,1,7
DB0515,DB1296,Moderate,1,127
DB0514,DB0529,Moderate,1,127
DB0349,DB1374,Moderate,1,7
DB0207,DB1045,Moderate,1,18
DB0713,DB0158,Moderate,1,5
DB0225,DB1490,Moderate,1,37
DB0691,DB0358,Moderate,1,13457
DB0060,DB0663,Moderate,1,137
DB1087,DB1163,Moderate,1,5
DB0084,DB1453,Moderate,1,1
DB0264,DB1275,Moderate,1,25
DB1272,DB0664,Moderate,1,137
DB0970,DB0451,Moderate,1,5
DB0646,DB0767,Major,0,5
DB0965,DB0286,Moderate,1,3
DB0570,DB0328,Moderate,1,12
DB0510,DB0781,Moderate,1,15
DB1212,DB0802,Moderate,1,1
DB0946,DB1257,Minor,2,1356
DB1055,DB0746,Moderate,1,12
DB1440,DB1541,Major,0,2
DB0327,DB0217,Moderate,1,1
DB0400,DB0957,Moderate,1,13457
DB1478,DB0926,Moderate,1,1
DB0944,DB0204,Moderate,1,3
DB0354,DB0291,Moderate,1,15
DB1296,DB0090,Moderate,1,57
DB1470,DB1403,Major,0,13457
DB0455,DB0375,Moderate,1,5
DB1456,DB0014,Minor,2,12
DB0110,DB1386,Moderate,1,5
DB1190,DB0097,Moderate,1,13478
DB0904,DB0067,Moderate,1,1
DB0820,DB0771,Moderate,1,1
DB1093,DB0855,Major,0,57
DB1175,DB0029,Major,0,127
DB0715,DB1340,Moderate,1,1
DB0948,DB0541,Moderate,1,8
DB1015,DB0709,Moderate,1,15
DB0517,DB0497,Moderate,1,15
DB1469,DB0097,Moderate,1,1347
DB0446,DB0531,Moderate,1,37
DB0115,DB0285,Moderate,1,7
DB0123,DB1415,Moderate,1,8
DB0149,DB1002,Moderate,1,1347
DB0619,DB1290,Minor,2,5
DB0303,DB1397,Moderate,1,5
DB0567,DB1311,Major,0,5
DB0946,DB0653,Minor,2,1356
DB0776,DB0703,Major,0,5
DB0457,DB0755,Major,0,7
DB0311,DB0676,Moderate,1,37
DB0691,DB0813,Major,0,1347
DB0446,DB1082,Moderate,1,37
DB1470,DB0999,Moderate,1,1347
DB0657,DB0382,Moderate,1,14
DB0786,DB0361,Major,0,15
DB0530,DB0713,Moderate,1,35
DB0691,DB0788,Moderate,1,13457
DB1251,DB1210,Moderate,1,1378
DB0560,DB1281,Moderate,1,15
DB0186,DB1494,Major,0,137
DB1105,DB1357,Moderate,1,58
DB1478,DB0863,Major,0,8
DB0982,DB1228,Major,0,1
DB0405,DB0724,Moderate,1,18
DB0303,DB1315,Moderate,1,8
DB1110,DB0834,Moderate,1,6
DB0060,DB1547,Moderate,1,2
DB0691,DB1003,Moderate,1,1347
DB1455,DB0813,Minor,2,15
DB0923,DB1449,Moderate,1,138
DB1289,DB1093,Moderate,1,5
DB0907,DB0724,Moderate,1,8
DB0473,DB1102,Major,0,45
DB0992,DB0893,Major,0,5
DB0336,DB0430,Major,0,17
DB1148,DB0285,Moderate,1,78
DB1145,DB1333,Moderate,1,2
DB1425,DB0377,Major,0,5
DB0286,DB0837,Moderate,1,1
DB1219,DB0684,Moderate,1,5
DB1228,DB0734,Major,0,8
DB0514,DB1126,Moderate,1,127
DB0134,DB0740,Moderate,1,8
DB0599,DB0567,Moderate,1,35
DB1376,DB1392,Major,0,35
DB1402,DB0708,Moderate,1,57
DB0989,DB1376,Moderate,1,35
DB0477,DB1419,Moderate,1,15
DB0930,DB1449,Minor,2,18
DB1554,DB1086,Moderate,1,5
DB0400,DB0158,Moderate,1,1347
DB1021,DB0346,Moderate,1,5
DB1441,DB1312,Moderate,1,2
DB1527,DB0515,Moderate,1,127
DB0910,DB0738,Major,0,18
DB1517,DB1340,Moderate,1,1
DB0355,DB0683,Moderate,1,578
DB1246,DB0626,Moderate,1,25
DB0942,DB1427,Major,0,1
DB0596,DB1053,Moderate,1,57
DB1033,DB1069,Minor,2,1
DB1455,DB1282,Moderate,1,5
DB1094,DB0511,Moderate,1,15
DB1402,DB1542,Major,0,7
DB0061,DB0585,Moderate,1,5
DB1055,DB1172,Moderate,1,1
DB1391,DB0346,Moderate,1,5
DB0613,DB0202,Moderate,1,78
DB1102,DB1247,Major,0,4
DB0996,DB0334,Moderate,1,15
DB0298,DB1063,Moderate,1,24
DB1493,DB1300,Moderate,1,1
DB0418,DB0749,Moderate,1,8
DB0088,DB1064,Moderate,1,5
DB1090,DB1211,Moderate,1,1
DB0420,DB1251,Moderate,1,13
DB1468,DB0798,Moderate,1,1347
DB0229,DB1257,Moderate,1,5
DB0469,DB1227,Moderate,1,3
DB0264,DB1452,Minor,2,5
DB0517,DB0653,Moderate,1,5
DB0378,DB1339,Moderate,1,5
DB0279,DB0549,Minor,2,5
DB0153,DB0349,Moderate,1,7
DB1199,DB0201,Moderate,1,5
DB0530,DB0483,Moderate,1,3
DB0199,DB0942,Moderate,1,1
DB1138,DB0749,Major,0,7
DB0678,DB1492,Major,0,56
DB1274,DB1466,Moderate,1,35
DB0549,DB0660,Moderate,1,15
DB0974,DB0379,Moderate,1,8
DB0186,DB1297,Moderate,1,137
DB0946,DB0653,Minor,2,1356
DB1402,DB0321,Moderate,1,7
DB0691,DB0726,Moderate,1,13478
DB0503,DB1331,Minor,2,2
DB1327,DB1313,Moderate,1,15
DB0295,DB0720,Moderate,1,7
DB0608,DB0774,Moderate,1,35
DB0094,DB0549,Minor,2,15
DB1190,DB0793,Major,0,134578
DB1431,DB0691,Minor,2,12347
DB0458,DB0946,Minor,2,136
DB0794,DB0036,Moderate,1,5
DB1208,DB0865,Moderate,1,16
DB0411,DB1071,Moderate,1,7
DB0431,DB1302,Moderate,1,15
DB0622,DB0704,Moderate,1,7
DB0630,DB0737,Moderate,1,8
DB0879,DB1328,Moderate,1,1
DB1047,DB0147,Major,0,5
DB1550,DB0957,Moderate,1,57
DB0417,DB1525,Moderate,1,5
DB1401,DB0430,Moderate,1,17
DB0725,DB1507,Major,0,58
DB1183,DB0178,Moderate,1,3
DB0965,DB1051,Moderate,1,37
DB0375,DB1089,Moderate,1,5
DB0130,DB0125,Major,0,5
DB1090,DB0601,Major,0,1
DB0105,DB0526,Moderate,1,5
DB0547,DB1552,Moderate,1,38
DB1261,DB0004,Major,0,5
DB0149,DB0056,Moderate,1,1347
DB0701,DB0460,Moderate,1,1
DB0043,DB0400,Moderate,1,1347
DB0386,DB0767,Major,0,5
DB1537,DB0360,Moderate,1,5
DB0109,DB0653,Moderate,1,25
DB1071,DB0774,Moderate,1,3
DB0644,DB0591,Moderate,1,3
DB0420,DB1275,Major,0,23
DB0482,DB0432,Moderate,1,1
DB0039,DB0063,Moderate,1,5
DB0592,DB0346,Moderate,1,5
DB0227,DB1419,Moderate,1,57
DB0309,DB0510,Major,0,15
DB0417,DB1419,Moderate,1,5
DB0612,DB1525,Moderate,1,5
DB0876,DB0712,Moderate,1,1278
DB1547,DB0594,Moderate,1,24
DB1251,DB0229,Moderate,1,1
DB0382,DB1556,Minor,2,14
DB0622,DB0047,Moderate,1,8
DB0069,DB0738,Major,0,18
DB0529,DB0836,Moderate,1,1
DB0647,DB1122,Major,0,5
DB0843,DB0690,Moderate,1,17
DB1468,DB1261,Moderate,1,1347
DB0150,DB1447,Minor,2,1347
DB0762,DB0653,Moderate,1,5
DB1022,DB1311,Moderate,1,5
DB0124,DB0738,Major,0,18
DB1465,DB1143,Moderate,1,27
DB1519,DB1532,Moderate,1,57
DB0750,DB0127,Minor,2,137
DB0075,DB1370,Moderate,1,5
DB1278,DB0936,Moderate,1,34
DB1204,DB0096,Moderate,1,7
DB0303,DB0307,Moderate,1,1
DB0132,DB0866,Minor,2,18
DB0987,DB0154,Major,0,2
DB0796,DB0505,Moderate,1,5
DB0778,DB0724,Moderate,1,8
DB0206,DB0215,Moderate,1,13
DB0989,DB1086,Moderate,1,5
DB0823,DB0763,Moderate,1,37
DB1258,DB1103,Moderate,1,5
DB1241,DB0361,Moderate,1,15
DB0486,DB0470,Moderate,1,3
DB0309,DB1525,Major,0,15
DB1246,DB0159,Major,0,5
DB0547,DB0229,Moderate,1,38
DB0364,DB1288,Moderate,1,5
DB0186,DB1559,Minor,2,137
DB0846,DB1274,Moderate,1,7
DB1039,DB0567,Moderate,1,5
DB0186,DB1501,Major,0,137
DB0472,DB0650,Moderate,1,5
DB0072,DB0300,Moderate,1,4
DB0284,DB0794,Moderate,1,3
DB0321,DB1063,Moderate,1,4
DB0075,DB0891,Moderate,1,5
