Drug1_ID,Drug2_ID,Y,Neg samples
DB01174,DB00347,3,DB01009$h
DB00966,DB00788,48,DB00629$t
DB00312,DB00969,3,DB01004$h
DB01283,DB00310,69,DB08796$t
DB00211,DB00816,48,DB00411$h
DB00277,DB09120,46,DB00495$t
DB01403,DB00363,15,DB00807$h
DB01024,DB13167,48,DB06153$h
DB00757,DB00808,19,DB00391$h
DB00945,DB01384,48,DB00302$h
DB00206,DB08883,15,DB02703$h
DB00353,DB06636,48,DB06710$h
DB01196,DB00320,46,DB04272$t
DB00405,DB05246,48,DB00670$t
DB09054,DB09065,72,DB02638$h
DB01197,DB11362,59,DB09091$h
DB09076,DB06204,48,DB00845$t
DB00896,DB00817,48,DB00689$h
DB00385,DB12598,71,DB00264$t
DB01577,DB00967,75,DB00362$h
DB01174,DB06738,3,DB01036$h
DB01142,DB04871,48,DB08798$h
DB00752,DB01200,48,DB00345$t
DB00773,DB01072,46,DB06817$h
DB01002,DB01167,72,DB01607$t
DB01014,DB01708,48,DB00486$t
DB00966,DB09038,48,DB02703$t
DB00285,DB01069,48,DB09279$h
DB00363,DB06290,72,DB03585$h
DB00865,DB00450,60,DB00986$h
DB00491,DB00215,8,DB12364$h
DB00806,DB06605,48,DB01093$t
DB00554,DB00440,46,DB00790$t
DB08912,DB00947,74,DB00212$t
DB00749,DB00784,48,DB00905$t
DB00679,DB00996,48,DB06824$h
DB00502,DB01026,46,DB02959$t
DB00315,DB01149,48,DB01199$t
DB01267,DB00938,19,DB00209$t
DB01248,DB00270,46,DB00988$t
DB00188,DB09235,48,DB09097$h
DB01576,DB00344,22,DB01412$h
DB01238,DB00489,59,DB13179$t
DB01587,DB00320,46,DB01403$t
DB03585,DB00764,48,DB08932$t
DB13179,DB09118,72,DB01339$h
DB01320,DB06267,3,DB00308$h
DB00744,DB13167,48,DB00714$h
DB00524,DB00606,59,DB00602$h
DB01110,DB00884,48,DB01248$h
DB11921,DB00582,46,DB12267$t
DB00373,DB09082,13,DB00169$t
DB00883,DB00966,48,DB06595$h
DB00714,DB00880,48,DB00362$h
DB00708,DB08987,48,DB00817$h
DB06594,DB00285,48,DB01249$h
DB03128,DB09291,46,DB00819$t
DB00283,DB09071,48,DB09277$t
DB00189,DB00366,15,DB09210$h
DB09166,DB00622,46,DB00737$t
DB01082,DB05676,71,DB01221$h
DB00295,DB00408,48,DB00983$t
DB00559,DB01062,74,DB04868$t
DB00657,DB01082,20,DB08913$h
DB00244,DB00461,56,DB00818$h
DB06288,DB06216,35,DB00404$h
DB09117,DB00341,15,DB09499$h
DB00477,DB00875,48,DB00170$t
DB00590,DB01020,48,DB09065$h
DB00543,DB00377,63,DB01591$t
DB09244,DB00752,70,DB00544$t
DB00559,DB09235,59,DB09212$t
DB01558,DB01353,48,DB11348$t
DB01202,DB00413,31,DB00551$t
DB00679,DB01151,72,DB06736$t
DB00679,DB06148,72,DB00939$t
DB01590,DB01253,72,DB05381$t
DB00178,DB01020,48,DB00970$h
DB01320,DB00362,74,DB00305$h
DB00520,DB00996,48,DB04948$h
DB06700,DB00368,84,DB00327$t
DB00679,DB01209,48,DB12483$t
DB00922,DB01580,48,DB06702$t
DB00390,DB01261,72,DB00562$t
DB00176,DB01202,48,DB00514$h
DB01250,DB00596,48,DB00399$h
DB06697,DB02703,72,DB08873$t
DB00904,DB01437,48,DB09235$t
DB01198,DB08922,48,DB00541$t
DB00906,DB08910,48,DB08912$h
DB04840,DB01026,46,DB08958$t
DB00204,DB01422,72,DB00708$t
DB08910,DB06290,72,DB00304$h
DB08893,DB09118,72,DB00191$t
DB01192,DB06716,48,DB00833$h
DB00224,DB00834,72,DB01247$t
DB00205,DB06697,32,DB11633$t
DB01165,DB00285,19,DB11268$t
DB00615,DB00845,3,DB00318$h
DB00842,DB08987,48,DB01093$h
DB00959,DB00136,69,DB00945$h
DB00831,DB09281,66,DB06292$t
DB00374,DB00179,48,DB06791$h
DB00327,DB00645,48,DB00302$h
DB00801,DB00748,48,DB00592$t
DB00318,DB06290,72,DB01191$t
DB00706,DB00333,46,DB08828$t
DB00956,DB01080,15,DB00677$h
DB01118,DB08916,74,DB08822$h
DB08971,DB01155,48,DB06147$h
DB00635,DB00582,72,DB00344$t
DB01394,DB01137,72,DB09094$h
DB00530,DB09063,72,DB00581$t
DB00744,DB01097,46,DB06795$t
DB00519,DB11079,36,DB01176$t
DB00500,DB01399,48,DB06766$h
DB01245,DB00340,69,DB09273$t
DB00808,DB00245,72,DB09296$h
DB00586,DB00487,26,DB00511$t
DB01214,DB00511,53,DB09073$t
DB00361,DB06290,72,DB09156$h
DB00239,DB09231,48,DB00854$h
DB00527,DB01433,48,DB00945$t
DB03128,DB00289,46,DB00542$t
DB01236,DB00281,48,DB11093$t
DB00697,DB00691,59,DB01296$h
DB00773,DB01149,46,DB04951$t
DB06736,DB09138,48,DB01010$h
DB01253,DB01087,48,DB00726$t
DB00584,DB01264,46,DB09117$t
DB00771,DB00909,48,DB01254$t
DB08922,DB02703,72,DB11691$t
DB00865,DB01254,72,DB00684$h
DB01609,DB00898,74,DB00476$t
DB00440,DB00622,46,DB13142$t
DB01395,DB01029,67,DB01118$h
DB01154,DB09236,3,DB01073$h
DB05381,DB00661,46,DB08906$t
DB00418,DB00854,48,DB08872$h
DB01223,DB00186,69,DB00289$t
DB01418,DB01166,5,DB00987$t
DB00297,DB05521,46,DB01208$t
DB09143,DB00705,72,DB05630$t
DB00623,DB01545,48,DB00552$h
DB00641,DB01232,72,DB01326$t
DB00356,DB00091,46,DB00261$t
DB01253,DB00363,48,DB00350$h
DB01551,DB09272,38,DB00191$t
DB00976,DB00691,19,DB11575$t
DB00423,DB00835,48,DB06817$t
DB01201,DB00857,3,DB00350$h
DB06737,DB00208,46,DB00302$t
DB09054,DB08868,33,DB00670$h
DB00335,DB00393,48,DB06786$t
DB00324,DB00903,82,DB09274$t
DB00641,DB09074,46,DB01150$t
DB00312,DB00834,74,DB01166$t
DB00223,DB01199,48,DB00983$h
DB01050,DB00273,46,DB00520$h
DB01355,DB06290,72,DB00196$t
DB01071,DB00285,46,DB00175$t
DB01355,DB00273,48,DB00872$h
DB00232,DB00325,48,DB13873$t
DB00475,DB00753,48,DB04930$t
DB00333,DB00675,10,DB00717$t
DB00963,DB01410,48,DB01252$t
DB08896,DB00489,53,DB06288$h
DB06701,DB04855,46,DB01614$t
DB00697,DB00768,48,DB00247$t
DB09026,DB00788,36,DB08883$t
DB08439,DB01015,46,DB09270$t
DB00881,DB00734,59,DB01627$t
DB00186,DB01353,48,DB11079$t
DB01214,DB08976,48,DB05294$h
DB01104,DB00176,46,DB00647$t
DB05271,DB01601,46,DB06441$h
DB08807,DB04743,36,DB00567$t
DB09068,DB04871,48,DB13873$h
DB05239,DB00246,72,DB04876$t
DB09039,DB01182,72,DB01138$t
DB01165,DB00904,19,DB01129$h
DB01114,DB01017,15,DB00565$t
DB00238,DB00836,3,DB00335$h
DB11268,DB00768,5,DB06268$h
DB13872,DB04841,48,DB00302$h
DB00231,DB00950,48,DB00481$h
DB00554,DB01137,26,DB00889$t
DB01174,DB00521,59,DB00622$t
DB01365,DB00568,75,DB01623$h
DB00648,DB00564,74,DB01044$h
DB00449,DB01324,82,DB01280$h
DB00418,DB00752,48,DB01205$t
DB00571,DB01214,48,DB03585$t
DB00981,DB01036,69,DB11093$h
DB09078,DB09063,72,DB11691$t
DB01626,DB00270,59,DB00845$t
DB01365,DB08802,75,DB01066$t
DB09232,DB00960,48,DB03756$h
DB08922,DB11148,48,DB09570$h
DB00374,DB00963,48,DB00404$h
DB00231,DB04953,48,DB08800$t
DB00252,DB01103,3,DB09389$h
DB04842,DB00413,31,DB09272$t
DB01238,DB00503,48,DB01708$t
DB00238,DB00586,3,DB01119$h
DB04855,DB01137,19,DB01320$t
DB01563,DB06700,48,DB00583$h
DB00694,DB01149,46,DB06706$h
DB00656,DB09167,46,DB00549$t
DB00836,DB05219,46,DB09343$t
DB06414,DB01026,72,DB04835$t
DB03615,DB13167,71,DB00686$h
DB00277,DB00932,46,DB01075$t
DB01248,DB01153,46,DB01191$h
DB01035,DB08815,19,DB00807$h
DB09288,DB11921,48,DB01158$h
DB00511,DB01339,81,DB00445$h
DB07615,DB09216,48,DB06827$h
DB01551,DB00321,48,DB01101$h
DB08906,DB01072,46,DB01284$t
DB00755,DB00796,48,DB00792$t
DB00498,DB01147,11,DB01041$h
DB01179,DB01078,57,DB06689$t
DB00796,DB00178,48,DB00806$t
DB00136,DB09054,46,DB00575$t
DB00747,DB04844,48,DB04272$t
DB00678,DB06695,76,DB01582$t
DB09073,DB00254,46,DB04894$t
DB00239,DB00224,46,DB00628$t
DB00567,DB00619,46,DB00432$t
DB00570,DB00176,46,DB00483$h
DB01232,DB00222,69,DB01426$t
DB00865,DB00582,46,DB00381$t
DB00559,DB00280,74,DB00550$t
DB00222,DB08983,8,DB01018$h
DB01198,DB06595,46,DB00721$t
DB01618,DB00366,15,DB09211$t
DB04844,DB00622,19,DB01065$t
DB00280,DB00188,19,DB00445$h
DB01355,DB09167,3,DB09297$h
DB11737,DB06717,72,DB04894$t
DB01609,DB00656,74,DB00480$t
DB01189,DB01069,48,DB00544$t
DB00896,DB00977,72,DB09034$t
DB00336,DB00283,46,DB03796$t
DB01282,DB01115,48,DB00559$t
DB01418,DB00586,5,DB00853$t
DB13595,DB08905,2,DB01414$h
DB03754,DB00399,74,DB01039$h
DB00738,DB02546,19,DB02959$t
DB06697,DB06290,72,DB00424$t
DB00296,DB00283,46,DB01193$t
DB06724,DB01130,2,DB00927$t
DB08873,DB00542,74,DB00541$h
DB08881,DB00757,74,DB00671$t
DB00563,DB01060,72,DB00889$t
DB00944,DB00979,69,DB00211$t
DB09017,DB00588,48,DB06267$h
DB00541,DB01182,72,DB09214$h
DB01198,DB08865,72,DB00195$t
DB00186,DB01239,48,DB01128$h
DB00202,DB00479,39,DB01567$t
DB00182,DB00988,48,DB00829$t
DB00821,DB09138,48,DB00446$h
DB01324,DB00222,69,DB00946$t
DB00232,DB01116,72,DB06736$t
DB06267,DB09238,9,DB00846$h
DB00986,DB11315,1,DB00296$t
DB05271,DB00214,48,DB01021$t
DB01041,DB01396,57,DB00889$t
DB00589,DB04946,48,DB00470$h
DB00373,DB00503,46,DB00761$t
DB00204,DB01259,19,DB01489$h
DB01171,DB01623,48,DB05271$h
DB04272,DB00784,5,DB00551$h
DB11148,DB01142,48,DB05541$t
DB01017,DB13595,66,DB00744$t
DB11348,DB00310,71,DB06737$t
DB00479,DB01397,71,DB01291$t
DB00182,DB00455,75,DB00573$h
DB00312,DB01142,3,DB06704$h
DB01194,DB06717,72,DB00666$h
DB06263,DB06739,71,DB00682$h
DB01015,DB00582,46,DB00397$t
DB00615,DB01153,72,DB11254$h
DB00220,DB00222,69,DB00551$t
DB00564,DB05246,3,DB00210$h
DB00489,DB00243,19,DB01157$h
DB04948,DB00960,24,DB06403$h
DB01232,DB00304,74,DB12001$t
DB00391,DB06144,35,DB04835$h
DB00206,DB00427,48,DB00821$h
DB08907,DB01319,46,DB01602$h
DB00961,DB06594,48,DB00912$t
DB04844,DB01015,19,DB01176$t
DB06605,DB00976,72,DB09096$h
DB08880,DB01115,74,DB09283$t
DB00669,DB04871,48,DB04868$t
DB00615,DB08868,3,DB09282$h
DB00679,DB01221,48,DB08797$t
DB01095,DB01601,46,DB11828$t
DB01283,DB00752,46,DB08895$t
DB12364,DB00749,65,DB00275$h
DB00794,DB01295,74,DB00302$t
DB06288,DB00934,48,DB00793$t
DB00661,DB09119,46,DB00421$h
DB09095,DB00358,48,DB00784$t
DB01177,DB00314,20,DB01041$h
DB01192,DB01365,68,DB01586$t
DB09291,DB00227,46,DB01105$t
DB08807,DB06737,36,DB09167$h
DB00384,DB00476,29,DB13146$h
DB09112,DB01041,48,DB02513$h
DB00801,DB00754,48,DB01041$h
DB01037,DB01149,46,DB00992$t
DB01062,DB09118,72,DB06706$h
DB01199,DB01297,53,DB00169$h
DB00880,DB01120,69,DB00773$h
DB00437,DB08938,66,DB00759$h
DB00335,DB01064,13,DB13142$t
DB09112,DB00752,48,DB06154$t
DB01008,DB09074,46,DB01173$t
DB00483,DB00571,53,DB00818$h
DB00217,DB09236,59,DB00232$t
DB01081,DB06716,48,DB09048$t
DB01275,DB08439,36,DB01370$t
DB09104,DB00950,74,DB01138$t
DB00421,DB01097,36,DB00603$t
DB00961,DB01210,72,DB00390$h
DB01072,DB01685,46,DB01212$t
DB00295,DB00527,48,DB09143$t
DB00231,DB00906,48,DB01627$h
DB00598,DB01050,36,DB06717$h
DB00949,DB00220,46,DB00969$t
DB00310,DB01240,59,DB06696$h
DB11126,DB00279,69,DB09499$h
DB01065,DB06738,48,DB00313$t
DB00749,DB02709,48,DB00252$t
DB06237,DB00275,9,DB01111$h
DB01234,DB00783,72,DB00277$h
DB01229,DB09031,48,DB05316$h
DB00752,DB00421,48,DB00274$t
DB00808,DB06203,69,DB06148$h
DB00599,DB01158,59,DB06792$t
DB00615,DB00361,3,DB01324$t
DB00749,DB01685,46,DB00442$h
DB00091,DB08895,33,DB00880$t
DB00347,DB00205,46,DB00613$t
DB01193,DB01235,29,DB00778$t
DB00475,DB00909,48,DB00812$t
DB00203,DB00289,46,DB00703$t
DB00801,DB01355,48,DB00347$h
DB00615,DB01190,3,DB01466$h
DB06777,DB06717,72,DB06594$t
DB00854,DB00747,48,DB06725$t
DB01138,DB00199,46,DB01416$t
DB00231,DB00227,46,DB06708$t
DB00216,DB00273,46,DB00465$t
DB01154,DB00350,59,DB00842$h
DB08906,DB00903,82,DB00247$t
DB09280,DB09396,3,DB00500$h
DB01242,DB00227,46,DB00187$t
DB12070,DB00246,46,DB00263$t
DB01348,DB06802,48,DB01217$t
DB01174,DB00091,3,DB01149$h
DB00864,DB12332,46,DB00855$h
DB00500,DB04951,48,DB09125$t
DB00521,DB05812,72,DB11268$t
DB01623,DB00750,48,DB00641$t
DB01170,DB01348,59,DB01364$t
DB01174,DB01177,3,DB00405$h
DB00712,DB11660,69,DB06702$h
DB00721,DB00344,48,DB00577$h
DB00524,DB00968,48,DB06709$t
DB09049,DB09118,72,DB00859$t
DB00911,DB08933,72,DB00379$t
DB00295,DB00318,48,DB09288$t
DB00742,DB01020,48,DB00640$t
DB04846,DB00808,82,DB11156$h
DB01132,DB09074,46,DB00700$t
DB12364,DB01014,65,DB00391$h
DB00589,DB01001,48,DB09272$t
DB00571,DB06290,72,DB00222$h
DB05271,DB01622,69,DB04896$h
DB00590,DB00999,48,DB00938$h
DB01168,DB00654,59,DB00489$t
DB09084,DB00399,48,DB00193$t
DB11581,DB00243,72,DB01199$t
DB00413,DB01037,48,DB01142$h
DB00829,DB09330,72,DB09223$h
DB00604,DB00400,72,DB00859$t
DB00892,DB04841,48,DB00193$t
DB00881,DB09093,74,DB06737$h
DB01606,DB00919,74,DB13879$h
DB00898,DB00652,15,DB00806$t
DB08895,DB00960,53,DB09291$t
DB00801,DB00356,48,DB01176$h
DB00208,DB00758,10,DB01223$h
DB00564,DB00300,46,DB01069$t
DB01159,DB08918,48,DB01044$t
DB00435,DB00178,48,DB05039$h
DB00844,DB01353,48,DB01249$h
DB00571,DB06218,24,DB11613$t
DB06201,DB00408,48,DB00390$t
DB06694,DB06826,59,DB11093$h
DB00238,DB00176,46,DB09018$t
DB00849,DB04920,59,DB00979$t
DB06207,DB06290,72,DB09097$h
DB06268,DB00224,46,DB00847$t
DB00373,DB06791,53,DB00424$t
DB00502,DB00697,19,DB00458$h
DB00606,DB06826,59,DB00664$t
DB01218,DB06603,72,DB00224$h
DB00346,DB09075,72,DB00997$t
DB00556,DB00808,19,DB00280$t
DB00285,DB00368,84,DB06155$t
DB00195,DB00221,13,DB01243$h
DB01615,DB13872,48,DB01205$h
DB01111,DB00385,56,DB06152$h
DB11575,DB08933,72,DB08938$t
DB00726,DB00215,48,DB12161$t
DB01251,DB08808,8,DB00548$t
DB00477,DB00613,72,DB00578$t
DB00918,DB00834,72,DB01611$h
DB00390,DB01340,72,DB11633$t
DB08916,DB01242,72,DB00712$t
DB00559,DB01126,74,DB00562$t
DB01397,DB04951,48,DB00239$h
DB00498,DB00688,5,DB01101$h
DB00340,DB00333,48,DB00583$h
DB01431,DB00976,46,DB00900$h
DB01221,DB01319,46,DB01208$t
DB00985,DB09072,15,DB00779$t
DB13872,DB00450,15,DB01175$t
DB00457,DB01197,48,DB00253$h
DB00091,DB00932,72,DB00757$h
DB00844,DB01437,48,DB01180$h
DB01126,DB01232,72,DB00277$t
DB00182,DB00657,59,DB00861$t
DB06616,DB00316,72,DB00554$t
DB09117,DB04953,15,DB00544$h
DB01172,DB06739,71,DB00176$h
DB09053,DB09238,72,DB08893$t
DB00614,DB00325,59,DB11610$t
DB01218,DB12332,72,DB11315$h
DB01380,DB00655,72,DB00986$t
DB00347,DB01601,46,DB00193$t
DB01253,DB01214,18,DB06782$t
DB00899,DB08987,48,DB09079$t
DB06725,DB00177,46,DB00438$t
DB00564,DB00757,3,DB06767$h
DB01606,DB00452,74,DB00288$h
DB00875,DB01198,48,DB08899$h
DB06201,DB00753,48,DB03585$h
DB00872,DB08933,72,DB01353$t
DB00780,DB01197,59,DB00368$t
DB00524,DB00700,48,DB09076$h
DB00788,DB00502,48,DB01273$h
DB02709,DB00215,46,DB00938$t
DB01197,DB06292,48,DB00476$h
DB08815,DB01251,69,DB08811$t
DB01118,DB00752,46,DB01240$t
DB09289,DB00211,83,DB02659$h
DB00203,DB09477,72,DB00480$h
DB01235,DB01100,69,DB00917$t
DB08824,DB00422,44,DB08826$h
DB01263,DB01211,46,DB06697$t
DB00880,DB04896,54,DB05039$h
DB00521,DB00925,59,DB00609$t
DB08958,DB09232,48,DB01046$h
DB09117,DB01545,15,DB00855$t
DB01028,DB01176,48,DB00791$t
DB00245,DB00956,48,DB00722$t
DB00990,DB00224,46,DB00643$t
DB00503,DB01016,69,DB09283$t
DB00615,DB00617,3,DB01288$h
DB01435,DB00764,48,DB09236$t
DB09241,DB04846,59,DB00974$h
DB01067,DB00863,72,DB09449$t
DB00334,DB00243,72,DB00879$h
DB04951,DB00929,69,DB01288$t
DB09063,DB01076,48,DB01155$h
DB00313,DB00765,31,DB00279$t
DB00216,DB00338,46,DB01047$t
DB01184,DB00254,72,DB01016$h
DB00545,DB00424,69,DB05219$t
DB00972,DB00608,46,DB01081$t
DB01410,DB00880,82,DB09543$t
DB00490,DB08883,15,DB01259$t
DB01201,DB03793,72,DB00669$h
DB00794,DB00295,3,DB08873$h
DB04574,DB00491,69,DB09166$t
DB01137,DB00889,19,DB01412$h
DB06739,DB06335,74,DB00321$h
DB01104,DB00349,46,DB00937$t
DB00312,DB06789,3,DB00401$h
DB00175,DB01062,72,DB00705$h
DB01418,DB08795,5,DB01039$h
DB01580,DB01080,48,DB00865$t
DB00470,DB08873,72,DB09290$h
DB00542,DB09218,48,DB01110$t
DB00571,DB08976,48,DB01260$h
DB09288,DB04576,26,DB01600$t
DB01260,DB00977,72,DB01618$h
DB00726,DB00678,46,DB00250$t
DB00402,DB01159,48,DB00399$t
DB01039,DB00285,46,DB06786$t
DB00684,DB00328,71,DB00397$t
DB01154,DB00521,59,DB01353$h
DB00368,DB00880,82,DB00274$t
DB01221,DB01351,48,DB00415$h
DB01320,DB00455,3,DB01440$h
DB09449,DB00519,56,DB00436$h
DB11148,DB05271,31,DB04786$t
DB01002,DB06204,15,DB00288$t
DB09224,DB00754,48,DB12364$h
DB00334,DB00331,69,DB00761$h
DB00409,DB00768,48,DB00276$h
DB08970,DB00220,72,DB01333$h
DB01395,DB06196,67,DB00320$h
DB00497,DB01351,48,DB01071$h
DB00223,DB00695,82,DB00928$h
DB01618,DB00949,48,DB06410$h
DB01100,DB05812,72,DB01248$t
DB06218,DB01149,72,DB00934$h
DB00275,DB00575,48,DB00571$h
DB00361,DB06636,46,DB00320$h
DB00298,DB01320,48,DB00947$h
DB00541,DB00810,72,DB00227$h
DB00477,DB00857,46,DB05260$t
DB00474,DB08987,48,DB01377$h
DB09227,DB00774,48,DB00331$h
DB00238,DB06207,3,DB00983$h
DB01340,DB09215,48,DB09120$t
DB00483,DB00908,20,DB00257$t
DB00243,DB00537,72,DB00589$t
DB00565,DB01578,39,DB09322$h
DB01071,DB01356,81,DB01178$t
DB00813,DB00356,48,DB05271$h
DB00802,DB08865,72,DB00617$t
DB00997,DB00796,72,DB09091$h
DB03756,DB09238,46,DB09156$t
DB00531,DB01262,14,DB09286$h
DB01086,DB00575,48,DB04920$h
DB00349,DB06413,46,DB06210$t
DB00312,DB06209,3,DB04855$h
DB00768,DB08970,48,DB06764$t
DB01551,DB00653,15,DB01022$t
DB09068,DB00216,48,DB01210$h
DB09093,DB00713,69,DB00699$h
DB00471,DB08816,46,DB00577$t
DB09102,DB00343,46,DB01578$t
DB00972,DB08906,48,DB00364$h
DB06616,DB01086,72,DB08806$t
DB00277,DB08881,72,DB00360$t
DB01319,DB00176,46,DB00940$h
DB00688,DB00678,46,DB09102$t
DB00210,DB01059,26,DB06145$t
DB00295,DB00344,48,DB00668$t
DB08922,DB01017,15,DB09269$t
DB00409,DB00503,46,DB09112$t
DB00696,DB00881,72,DB09227$t
DB01367,DB01214,59,DB00497$h
DB01609,DB01551,74,DB09087$h
DB01583,DB08934,74,DB00818$h
DB06207,DB09065,72,DB00982$h
DB06480,DB00694,72,DB00576$t
DB00831,DB00540,48,DB01151$h
DB01275,DB00688,36,DB01142$h
DB01392,DB01264,72,DB09214$t
DB00435,DB00722,48,DB08976$h
DB01178,DB01588,48,DB03754$t
DB09280,DB08439,74,DB01250$h
DB09270,DB00635,72,DB05676$t
DB00241,DB00909,48,DB00762$t
DB01421,DB00314,20,DB01219$h
DB01181,DB08933,72,DB00715$h
DB00872,DB09073,72,DB04918$t
DB00555,DB01219,48,DB00385$h
DB00521,DB01193,48,DB01234$t
DB01242,DB01501,48,DB00973$h
DB00910,DB09330,72,DB00235$h
DB01367,DB04948,59,DB02187$t
DB00564,DB00270,3,DB06782$h
DB00905,DB01348,59,DB01058$h
DB00387,DB01192,48,DB00863$h
DB09214,DB08796,48,DB00284$t
DB00564,DB01009,3,DB01282$h
DB00682,DB04575,11,DB09138$h
DB00295,DB00628,48,DB09084$h
DB00216,DB00264,46,DB00300$t
DB01175,DB00188,19,DB09093$t
DB08822,DB01250,48,DB00217$h
DB00972,DB00726,15,DB01179$h
DB13025,DB00765,31,DB01427$t
DB00186,DB01149,48,DB00698$h
DB01169,DB00401,48,DB06723$t
DB00334,DB01065,48,DB00449$h
DB09082,DB01324,82,DB09209$h
DB00295,DB00188,46,DB00651$t
DB01297,DB00821,36,DB01422$t
DB09034,DB00408,15,DB00964$h
