Drug1_ID,Drug2_ID,Y
DB09039,DB11986,5
DB01412,DB11753,0
DB00342,DB00647,0
DB11613,DB01104,0
DB00897,DB00906,2
DB00322,DB01166,1
DB00495,DB01033,2
DB04841,DB09262,7
DB09273,DB00176,0
DB00586,DB06210,0
DB00554,DB00323,1
DB09053,DB00353,0
DB00165,DB01069,1
DB04844,DB04855,40
DB00860,DB01628,23
DB00477,DB00585,6
DB09237,DB00281,0
DB06203,DB00187,0
DB00346,DB00675,0
DB00263,DB01114,5
DB14126,DB00628,1
DB00933,DB01169,5
DB03575,DB00810,7
DB15035,DB14538,3
DB00590,DB06691,0
DB09224,DB00619,5
DB01253,DB00908,7
DB01254,DB00418,3
DB00388,DB00790,8
DB01223,DB00951,4
DB15444,DB00401,0
DB09089,DB01208,5
DB06603,DB00819,0
DB00474,DB06716,2
DB00833,DB09082,1
DB00980,DB01016,0
DB00186,DB01029,0
DB00752,DB00215,21
DB01236,DB01006,0
DB00850,DB00949,2
DB00833,DB00359,1
DB00150,DB01192,2
DB00196,DB00356,1
DB00193,DB06262,1
DB06016,DB08897,7
DB00612,DB11732,4
DB08808,DB00831,4
DB09330,DB00270,0
DB00369,DB00661,1
DB00367,DB09241,0
DB00557,DB09236,5
DB00395,DB00546,2
DB09289,DB00273,3
DB00209,DB06262,31
DB00555,DB00956,7
DB04871,DB06712,0
DB00590,DB01369,0
DB08932,DB11156,1
DB08883,DB00776,3
DB14539,DB00839,19
DB00813,DB01698,0
DB00381,DB00869,13
DB00825,DB08807,15
DB00637,DB14669,3
DB05294,DB00476,0
DB08439,DB09071,1
DB00788,DB06813,1
DB06626,DB00537,0
DB00591,DB09038,19
DB01020,DB06712,54
DB13783,DB01043,1
DB00589,DB00936,9
DB11737,DB08906,0
DB04665,DB03010,4
DB12887,DB00849,3
DB00915,DB00564,1
DB08807,DB04846,65
DB06654,DB00006,26
DB12500,DB00625,0
DB00489,DB00907,0
DB00590,DB00909,24
DB00322,DB08906,2
DB09273,DB06154,24
DB04871,DB00266,2
DB09079,DB00328,0
DB02901,DB13867,52
DB01100,DB11574,0
DB00091,DB11586,0
DB00718,DB14006,1
DB04946,DB02701,0
DB14539,DB00461,23
DB06154,DB06710,1
DB09185,DB09244,2
DB00629,DB01628,6
DB01142,DB00439,0
DB00186,DB01115,0
DB00879,DB01420,1
DB01396,DB09296,4
DB06209,DB09280,3
DB09089,DB14068,14
DB01559,DB09245,2
DB00952,DB00852,0
DB12141,DB00396,3
DB00202,DB00622,7
DB00006,DB04845,18
DB01364,DB00191,12
DB09273,DB01065,0
DB05294,DB00370,0
DB00871,DB13074,5
DB01357,DB04725,0
DB14538,DB00206,3
DB00519,DB06152,15
DB00361,DB06774,0
DB06589,DB00301,3
DB00401,DB05018,1
DB00461,DB00487,0
DB11273,DB06589,0
DB09080,DB11730,5
DB09039,DB01587,0
DB09351,DB00203,0
DB00849,DB00443,3
DB01327,DB06725,57
DB01110,DB12093,12
DB01274,DB00969,0
DB00559,DB09198,0
DB00487,DB09082,5
DB00908,DB01154,0
DB00312,DB01046,1
DB04841,DB00755,0
DB13953,DB00333,0
DB00590,DB00398,0
DB09351,DB04905,0
DB01074,DB01254,5
DB00972,DB08912,0
DB06152,DB00550,2
DB00914,DB00294,6
DB00356,DB00193,29
DB00537,DB01580,5
DB00861,DB06262,1
DB01065,DB01138,0
DB11952,DB05294,0
DB00969,DB01069,0
DB01251,DB01435,49
DB00470,DB13919,0
DB06077,DB00422,2
DB06603,DB09299,0
DB00461,DB01577,1
DB11952,DB00636,3
DB08875,DB00758,0
DB00698,DB08860,1
DB01176,DB00810,7
DB00290,DB01280,2
DB06670,DB00398,0
DB00297,DB00193,0
DB00309,DB06287,2
DB00091,DB12532,0
DB00629,DB01050,6
DB08932,DB06736,6
DB00827,DB11978,5
DB00445,DB01394,2
DB00672,DB00933,6
DB13879,DB05521,4
DB06216,DB08931,8
DB04948,DB04861,6
DB00758,DB01601,0
DB04557,DB00668,0
DB06480,DB01200,0
DB01154,DB00313,4
DB09078,DB00882,4
DB15035,DB11613,0
DB00969,DB01028,2
DB08502,DB13874,0
DB00395,DB00448,0
DB01050,DB00339,1
DB00471,DB00176,0
DB01454,DB01588,2
DB09061,DB08881,1
DB01136,DB09039,0
DB01228,DB00497,0
DB00788,DB09224,1
DB00822,DB00862,5
DB01233,DB08903,5
DB00292,DB04896,2
DB00568,DB06589,5
DB00924,DB00763,0
DB02901,DB00959,52
DB01169,DB06209,1
DB01192,DB00675,0
DB00392,DB08922,6
DB01029,DB09212,33
DB08502,DB11995,3
DB00321,DB06819,0
DB01024,DB05676,2
DB00377,DB01005,0
DB00334,DB00843,6
DB00244,DB00806,18
DB12371,DB01624,0
DB03615,DB01124,1
DB09299,DB12319,16
DB04898,DB00440,0
DB00469,DB00688,1
DB01248,DB00353,0
DB09289,DB01222,3
DB00734,DB01069,7
DB00784,DB00441,1
DB01384,DB09101,0
DB00682,DB01333,3
DB14068,DB01289,17
DB00325,DB00936,6
DB01014,DB00564,1
DB00414,DB06268,0
DB00968,DB01558,1
DB09237,DB09061,0
DB00338,DB05015,3
DB00474,DB09224,2
DB00862,DB00916,0
DB04855,DB01406,0
DB00802,DB00836,20
DB00091,DB06268,2
DB00605,DB01253,9
DB01331,DB01656,1
DB12130,DB00755,0
DB04844,DB13074,5
DB01195,DB00418,3
DB00897,DB01011,1
DB12978,DB01032,3
DB06203,DB00196,17
DB11156,DB00916,12
DB08910,DB00195,0
DB12130,DB00834,4
DB01191,DB11732,21
DB00359,DB00698,55
DB01098,DB08901,0
DB00864,DB01352,3
DB11915,DB01114,0
DB01015,DB09185,1
DB00414,DB01050,49
DB01191,DB08880,11
DB06203,DB01120,28
DB12130,DB00588,0
DB00339,DB00356,1
DB04855,DB00448,3
DB06730,DB14575,3
DB01411,DB12267,0
DB00184,DB00661,0
DB09118,DB06595,0
DB00946,DB09280,3
DB11730,DB01587,0
DB01157,DB01587,1
DB00668,DB00881,8
DB11613,DB01069,0
DB00624,DB05018,1
DB00250,DB00763,0
DB00977,DB00764,4
DB01142,DB00673,0
DB00763,DB01262,2
DB01072,DB00988,1
DB01175,DB00243,4
DB00252,DB00697,2
DB14568,DB08811,0
DB01108,DB09212,23
DB00647,DB00176,21
DB00915,DB09071,1
DB01227,DB06678,2
DB09071,DB06712,0
DB00418,DB00979,2
DB12147,DB01320,3
DB04884,DB08881,0
DB00208,DB00672,1
DB00518,DB01044,0
DB00481,DB04868,0
DB00543,DB00554,9
DB00304,DB05521,11
DB00940,DB00988,31
DB06228,DB00530,0
DB05812,DB01587,0
DB01177,DB01176,0
DB00987,DB00764,3
DB06616,DB00602,3
DB00784,DB01624,9
DB00718,DB01001,1
DB04855,DB06605,4
DB15035,DB01601,0
DB00220,DB01155,5
DB00927,DB01165,5
DB00396,DB00574,0
DB00863,DB09089,1
DB09212,DB00811,1
DB00783,DB00841,1
DB00471,DB09078,0
DB11817,DB05239,4
DB00823,DB00396,3
DB00794,DB06153,7
DB00317,DB13139,0
DB01595,DB09241,2
DB13867,DB01405,43
DB12825,DB00204,40
DB09462,DB04743,6
DB01483,DB01685,0
DB12941,DB11730,4
DB00721,DB04861,13
DB00933,DB01337,2
DB00577,DB01656,1
DB00808,DB06589,5
DB01396,DB00321,5
DB00861,DB00333,1
DB04855,DB09143,0
DB00334,DB00956,7
DB00461,DB00323,1
DB00864,DB09167,5
DB00617,DB04868,0
DB09195,DB05676,3
DB00234,DB01267,2
DB06148,DB00312,7
DB00812,DB05676,3
DB01151,DB01075,0
DB00435,DB01241,1
DB04946,DB00481,0
DB01037,DB00916,0
DB00454,DB06595,3
DB00812,DB00477,1
DB01558,DB12245,0
DB00684,DB06154,1
DB01108,DB00857,3
DB00500,DB01295,8
DB09239,DB08881,5
DB00557,DB09555,5
DB09017,DB00277,6
DB00829,DB06702,7
DB09061,DB01251,0
DB00631,DB01254,2
DB00211,DB01151,88
DB08815,DB00193,21
DB01166,DB01215,1
DB08907,DB01044,12
DB06335,DB00294,6
DB00712,DB00532,0
DB00916,DB00170,0
DB00969,DB09245,2
DB15035,DB01128,0
DB01104,DB00278,18
DB00700,DB00519,70
DB09214,DB09223,1
DB04829,DB04948,12
DB00736,DB00776,0
DB06670,DB01394,0
DB00421,DB00440,10
DB01395,DB14068,15
DB00898,DB00544,0
DB12825,DB00435,0
DB12371,DB01873,0
DB11273,DB00968,45
DB00549,DB01412,11
DB01126,DB01408,9
DB03756,DB01016,0
DB00206,DB00641,1
DB00521,DB00612,14
DB00420,DB00435,0
DB00875,DB09295,9
DB01544,DB00501,0
DB04841,DB00668,0
DB11689,DB00176,4
DB00315,DB06716,2
DB01192,DB04953,2
DB00347,DB01171,0
DB01590,DB09119,3
DB00346,DB00420,39
DB00635,DB08867,4
DB00549,DB06442,0
DB11641,DB01183,0
DB00921,DB00712,0
DB01233,DB01137,5
DB01224,DB00708,2
DB00454,DB04908,2
DB00998,DB00412,0
DB09013,DB08864,0
DB09119,DB00715,2
DB14975,DB00571,0
DB00554,DB00487,38
DB09296,DB07348,4
DB00788,DB09297,0
DB00238,DB00283,0
DB01396,DB00218,5
DB00903,DB09026,2
DB00437,DB09205,1
DB00398,DB04825,5
DB00721,DB01036,7
DB00731,DB01156,0
DB01576,DB09068,21
DB00698,DB09123,1
DB00758,DB00006,18
DB01267,DB00177,8
DB12483,DB00591,3
DB09073,DB04845,0
DB01151,DB00433,0
DB00851,DB01388,0
DB00433,DB00204,1
DB00468,DB00903,6
DB01229,DB00607,3
DB00563,DB00571,1
DB00292,DB04842,2
DB00197,DB08816,0
DB00296,DB00297,2
DB11951,DB00091,0
DB00549,DB00641,0
DB01420,DB06292,10
DB01154,DB00549,0
DB00726,DB00829,2
DB00762,DB04817,3
DB01333,DB00264,1
DB00628,DB09034,7
DB00213,DB06817,91
DB09214,DB08897,1
DB00482,DB11367,1
DB01213,DB09338,10
DB02134,DB00461,0
DB00469,DB08808,8
DB00656,DB04855,5
DB02134,DB01303,0
DB09295,DB11915,1
DB00700,DB01212,10
DB00599,DB00633,2
DB00814,DB00866,8
DB01283,DB01408,9
DB00285,DB08816,66
DB00494,DB04884,2
DB00960,DB00699,48
DB00784,DB00690,1
DB00280,DB00318,2
DB12026,DB01367,0
DB07615,DB00694,18
DB05246,DB00705,0
DB00333,DB00996,2
DB00675,DB00338,3
DB00541,DB00679,51
DB11823,DB00598,0
DB00568,DB00849,3
DB01135,DB11732,2
DB00571,DB00169,0
DB00546,DB01135,2
DB01104,DB00188,0
DB01338,DB06282,2
DB11757,DB05812,4
DB00420,DB01097,11
DB08502,DB01032,3
DB01685,DB11943,1
DB01100,DB13954,3
DB09214,DB01169,1
DB00784,DB00833,1
DB08912,DB06176,5
DB00700,DB09195,10
DB11090,DB00343,70
DB06292,DB01411,0
DB09235,DB06335,10
DB01274,DB01394,1
DB01193,DB00201,2
DB00640,DB01100,5
DB00850,DB08910,2
DB04871,DB01138,3
DB11915,DB00482,0
DB00763,DB01241,1
DB01248,DB00398,4
DB00932,DB00255,1
DB08922,DB01583,0
DB11915,DB09118,0
DB00605,DB00432,1
DB00934,DB01046,1
DB01016,DB00745,0
DB01001,DB00907,5
DB06730,DB00363,3
DB01245,DB04871,2
DB04871,DB01213,0
DB01338,DB09262,7
DB00199,DB13874,0
DB01100,DB06442,3
DB00559,DB00412,1
DB00727,DB00554,6
DB00227,DB01100,0
DB06228,DB11156,1
DB01001,DB01011,1
DB12278,DB05885,24
DB09214,DB01101,1
DB09078,DB01208,5
DB01355,DB01032,0
DB00843,DB00370,7
DB11689,DB09225,0
DB00206,DB01137,1
DB08882,DB00834,11
DB01029,DB00641,0
DB00195,DB01156,0
DB09039,DB09034,4
DB06616,DB00582,0
DB00879,DB04871,1
DB01175,DB00590,4
DB12483,DB01201,3
DB00246,DB00476,2
DB00983,DB01173,0
DB09166,DB00701,0
DB00186,DB00209,7
DB01206,DB01262,2
DB00588,DB04953,2
DB00973,DB01174,3
DB01149,DB02709,56
DB01186,DB03575,2
DB00843,DB01105,2
DB09090,DB00827,5
DB01029,DB08439,33
DB00862,DB00224,4
DB00731,DB00218,12
DB00441,DB00458,1
DB06292,DB08877,10
DB04076,DB01079,0
DB14583,DB01380,3
DB00228,DB06684,2
DB00727,DB01628,6
DB12161,DB00501,0
DB01331,DB09216,57
DB00881,DB09204,15
DB13943,DB01232,0
DB00850,DB01576,84
DB00904,DB03756,0
DB11915,DB00792,0
DB02709,DB00503,3
DB06016,DB00281,0
DB00696,DB01355,2
DB00325,DB00734,13
DB00980,DB00675,0
DB04861,DB01195,14
DB06203,DB01228,0
DB04905,DB00627,0
DB06594,DB00356,0
DB09101,DB00313,0
DB00877,DB00281,0
DB01435,DB01068,1
DB09048,DB14011,0
DB12015,DB00966,4
DB01021,DB00665,10
DB08846,DB00563,16
DB00603,DB00755,6
DB14840,DB01259,4
DB00279,DB12693,6
DB06726,DB00353,48
DB01409,DB01408,6
DB08881,DB09101,0
DB00641,DB01175,4
DB00248,DB01059,0
DB06713,DB00603,3
DB01331,DB06154,1
DB00418,DB01222,1
DB06605,DB09167,0
DB08893,DB01079,0
DB01349,DB04743,33
DB00514,DB00482,0
DB13953,DB01204,1
DB00952,DB00187,8
DB00582,DB00312,11
DB00699,DB14635,0
DB11827,DB11712,4
DB00825,DB04946,5
DB11586,DB00197,0
DB01023,DB09273,34
DB00214,DB00476,71
DB01454,DB00813,72
DB06209,DB00898,0
DB01245,DB00571,20
DB00557,DB00531,0
DB00757,DB00865,2
DB00661,DB01267,39
DB00309,DB00333,3
DB01628,DB01359,8
DB06287,DB00398,4
DB00788,DB01220,3
DB01129,DB01409,1
DB00279,DB00266,18
DB00977,DB14539,4
DB14540,DB01268,19
DB01172,DB08907,1
DB01611,DB04951,2
DB00440,DB00549,0
DB00279,DB13867,12
DB08883,DB01628,0
DB01075,DB11638,0
DB09090,DB00388,80
DB09216,DB01244,14
DB06446,DB09290,2
DB00266,DB00817,12
DB01483,DB14575,2
DB12015,DB00932,0
DB00620,DB00549,3
DB00320,DB01114,2
DB12371,DB00469,0
DB09030,DB01229,0
DB00593,DB01466,2
DB01357,DB00363,3
DB00465,DB01095,0
DB12371,DB00357,3
DB09371,DB00741,4
DB00398,DB00642,2
DB00222,DB09224,14
DB00897,DB14006,1
DB09327,DB04871,0
DB00879,DB01183,1
DB09017,DB05271,46
DB00315,DB01137,0
DB00482,DB08911,0
DB00248,DB00503,4
DB00829,DB11943,1
DB00188,DB00621,0
DB00395,DB00805,2
DB06290,DB12371,2
DB08881,DB00620,3
DB00497,DB00472,4
DB01159,DB05271,46
DB06738,DB08798,0
DB01466,DB01403,7
DB01227,DB11642,11
DB00790,DB01166,1
DB12329,DB00805,0
DB09195,DB09555,0
DB00497,DB11837,0
DB00222,DB01295,12
DB00216,DB09076,7
DB14185,DB14635,0
DB09128,DB01021,8
DB00365,DB01232,5
DB00764,DB00814,23
DB11978,DB11633,4
DB08873,DB01166,0
DB13944,DB00435,0
DB00802,DB00661,0
DB06287,DB01182,4
DB06155,DB09080,31
DB00764,DB00978,43
DB04896,DB01011,3
DB00813,DB00647,0
DB12267,DB09101,0
DB14975,DB00648,11
DB08838,DB01124,17
DB00489,DB02134,2
DB06605,DB01201,3
DB01407,DB05039,2
DB01233,DB09338,10
DB00496,DB01244,0
DB00904,DB01405,5
DB00669,DB01337,2
DB00297,DB01087,0
DB00499,DB12245,0
DB01176,DB00898,7
DB01039,DB06203,1
DB00983,DB00365,5
DB01195,DB00934,0
DB00199,DB04841,93
DB00508,DB00683,2
DB00550,DB01024,2
DB09213,DB00806,18
DB00730,DB05018,1
DB00428,DB01380,2
DB11995,DB09054,1
DB04829,DB09238,0
DB00631,DB00787,16
DB00191,DB00180,3
DB00622,DB04842,14
DB00285,DB00295,2
DB01244,DB01355,3
DB15035,DB01589,0
DB00773,DB04884,0
DB06774,DB14631,6
DB01016,DB00243,1
DB04856,DB00313,0
DB01580,DB00933,4
DB01384,DB01009,23
DB01254,DB00528,0
DB11921,DB09285,23
DB09214,DB01002,1
DB12267,DB06772,0
DB01129,DB00851,3
DB00273,DB06203,1
DB13955,DB00347,0
DB01590,DB00857,3
DB01166,DB00209,0
DB00180,DB11817,2
DB04905,DB04841,0
DB00687,DB00997,2
DB06016,DB00373,0
DB01222,DB09224,1
DB00176,DB00738,0
DB00570,DB09227,0
DB00290,DB00309,2
DB14011,DB06016,2
DB01435,DB00518,0
DB09034,DB01045,3
DB00712,DB09351,8
DB06237,DB08932,34
DB06589,DB00335,0
DB00374,DB00195,13
DB00231,DB01151,7
DB09183,DB00472,4
DB11979,DB01228,0
DB00292,DB13954,1
DB01395,DB12010,0
DB01156,DB00248,2
DB00695,DB09236,13
DB00470,DB01320,7
DB06605,DB00307,0
DB00594,DB00300,10
DB00279,DB14631,6
DB00599,DB00952,2
DB06148,DB00977,0
DB06155,DB06153,2
DB00465,DB00875,9
DB01544,DB11156,2
DB00897,DB01075,2
DB00927,DB04794,30
DB00966,DB00503,1
DB09183,DB12941,1
DB00871,DB11640,2
DB01212,DB00980,1
DB06218,DB00214,0
DB00333,DB01238,2
DB08816,DB01167,4
DB06654,DB11855,1
DB00280,DB00428,3
DB00328,DB00448,16
DB13953,DB00898,3
DB00906,DB04948,12
DB04842,DB01118,2
DB08931,DB00580,6
DB04953,DB06077,2
DB00820,DB00851,1
DB15091,DB01211,0
DB01014,DB00296,1
DB00586,DB00264,8
DB01587,DB13943,1
DB14975,DB01283,0
DB01576,DB00396,0
DB00458,DB00861,1
DB00833,DB01065,16
DB00613,DB01129,0
DB00216,DB14185,2
DB12831,DB01030,18
DB00617,DB00757,2
DB14068,DB00412,17
DB00683,DB09068,2
DB06589,DB01085,0
DB00426,DB14019,0
DB11574,DB00398,0
DB01132,DB09123,6
DB00193,DB00437,1
DB00877,DB00591,3
DB00228,DB06077,2
DB01129,DB11901,4
DB11613,DB01320,0
DB00546,DB06678,2
DB00187,DB01201,3
DB00193,DB00960,21
DB00304,DB00860,4
DB00712,DB09213,2
DB00381,DB13928,17
DB00591,DB11090,1
DB00684,DB00642,1
DB01018,DB01149,0
DB00755,DB00270,2
DB00204,DB00849,3
DB09102,DB00196,0
DB00325,DB13954,1
DB01026,DB14065,15
DB01395,DB01062,0
DB00701,DB11703,3
DB00624,DB08901,3
DB08864,DB12093,5
DB00491,DB00834,17
DB01215,DB01595,2
DB00207,DB00599,3
DB00307,DB00959,2
DB14011,DB01352,2
DB01275,DB13946,1
DB01396,DB00549,0
DB00829,DB01221,2
DB00682,DB13179,4
DB06201,DB00831,2
DB12245,DB00208,0
DB14011,DB00875,2
DB00465,DB00296,1
DB11614,DB00866,0
DB09244,DB09238,13
DB00532,DB00546,2
DB13944,DB00458,0
DB01236,DB08811,2
DB01289,DB09288,49
DB09288,DB00494,0
DB04896,DB13944,3
DB00780,DB01137,1
DB04855,DB01577,0
DB12332,DB00122,2
DB00674,DB00679,0
DB00843,DB05271,46
DB06652,DB01234,3
DB01023,DB12147,0
DB00177,DB00472,0
DB00790,DB09351,20
DB04884,DB00472,4
DB01380,DB01289,19
DB01454,DB11633,0
DB00091,DB01331,57
DB01036,DB06702,1
DB01327,DB00231,1
DB00289,DB06216,0
DB01118,DB13345,0
DB00370,DB00238,0
DB08875,DB01645,0
DB01217,DB08896,0
DB01032,DB01105,1
DB09201,DB00788,0
DB00656,DB00559,8
DB00382,DB08893,37
DB11859,DB00422,6
DB01289,DB00617,0
DB00879,DB01018,1
DB01069,DB12141,6
DB00325,DB01157,1
DB08881,DB00819,0
DB14631,DB01016,19
DB14583,DB01181,3
DB00334,DB01043,6
DB01177,DB01104,0
DB00605,DB01046,1
DB01395,DB09256,10
DB01142,DB05271,46
DB00349,DB00563,3
DB01151,DB00266,2
DB09289,DB12015,3
DB00808,DB09082,10
DB01191,DB11791,0
DB00404,DB09262,7
DB00675,DB00203,0
DB01175,DB01252,17
DB01253,DB09241,41
DB00270,DB01129,1
DB00433,DB00497,90
DB04948,DB13139,0
DB04829,DB00940,7
DB00356,DB01157,1
DB09048,DB06691,0
DB00598,DB00851,1
DB06212,DB00206,4
DB00296,DB01097,11
DB01275,DB09089,1
DB00458,DB01054,5
DB00313,DB00764,3
DB00222,DB01097,0
DB01215,DB00434,7
DB00227,DB00622,0
DB06510,DB00338,0
DB01395,DB00705,0
DB00794,DB01035,6
DB01590,DB11855,1
DB00752,DB09245,2
DB01193,DB09227,34
DB00359,DB00347,0
DB09288,DB06626,4
DB00918,DB00799,0
DB00580,DB00290,1
DB09235,DB06230,10
DB01021,DB00514,4
DB00927,DB01224,5
DB00470,DB01199,7
DB06479,DB00218,0
DB08918,DB00469,32
DB01238,DB00285,0
DB00914,DB01128,0
DB09241,DB00388,47
DB14539,DB00412,19
DB01233,DB04896,2
DB01002,DB00412,0
DB01221,DB01108,6
DB08838,DB01466,2
DB11967,DB12500,4
DB00983,DB12161,5
DB12825,DB06413,3
DB00683,DB09071,2
DB00908,DB01275,0
DB14631,DB08907,19
DB06176,DB08882,4
DB08893,DB00343,0
DB00207,DB00477,3
DB01067,DB01420,3
DB06154,DB06700,1
DB01544,DB01623,2
DB00461,DB00918,1
DB01115,DB05018,1
DB00833,DB00661,1
DB00202,DB01029,15
DB00594,DB04920,10
DB08934,DB00834,11
DB08875,DB00613,0
DB01435,DB11963,0
DB00825,DB04846,14
DB04841,DB01590,0
DB00178,DB06446,15
DB00805,DB09232,27
DB00682,DB01261,1
DB01395,DB00709,10
DB08931,DB00972,0
DB08922,DB05271,46
DB09285,DB00881,33
DB00605,DB01002,1
DB00496,DB11915,0
DB09245,DB00178,13
DB08901,DB06217,0
DB00952,DB00184,0
DB14011,DB01251,0
DB06268,DB00665,0
DB00952,DB00898,7
DB06210,DB00218,0
DB01221,DB01222,6
DB13955,DB00390,1
DB15035,DB00615,3
DB00540,DB01128,0
DB09290,DB00998,0
DB00500,DB01408,9
DB06700,DB01252,17
DB06152,DB09285,15
DB11951,DB09102,4
DB06738,DB00908,2
DB00432,DB01024,2
DB00978,DB06732,3
DB01628,DB00969,0
DB01412,DB01192,6
DB00227,DB06292,0
DB00715,DB06512,2
DB00434,DB00978,5
DB11575,DB00783,16
DB00555,DB09245,2
DB00343,DB01129,0
DB00842,DB01685,1
DB00571,DB00921,4
DB01437,DB06654,2
DB00712,DB01395,15
DB00243,DB01268,0
DB08934,DB13944,1
DB11951,DB11737,11
DB00482,DB01186,9
DB05095,DB06262,1
DB00738,DB00879,1
DB00198,DB01142,1
DB00353,DB00983,45
DB00402,DB09123,1
DB00744,DB01032,0
DB01656,DB13879,0
DB00825,DB04552,15
DB00829,DB00744,0
DB01001,DB09238,8
DB06148,DB04076,0
DB00300,DB01261,1
DB00377,DB00780,2
DB00231,DB11859,2
DB01076,DB08864,4
DB00193,DB06702,2
DB00165,DB00608,1
DB00625,DB01135,2
DB06217,DB00889,5
DB00490,DB12093,8
DB00843,DB08895,20
DB00394,DB00851,2
DB01098,DB06413,3
DB00404,DB04574,0
DB00679,DB01173,7
DB08899,DB00949,0
DB00879,DB01124,1
DB09195,DB04871,0
DB00983,DB00412,0
DB01403,DB01087,0
DB00182,DB01069,58
DB13857,DB12015,3
DB01251,DB01041,0
DB13952,DB09237,0
DB00328,DB06016,9
DB11273,DB00333,0
DB06738,DB00501,0
DB09123,DB06218,3
DB00805,DB00627,0
DB12130,DB00188,0
DB00755,DB01011,0
DB09017,DB01173,7
DB00916,DB01591,5
DB06725,DB09026,79
DB01259,DB01274,5
DB00825,DB00938,5
DB00444,DB09223,51
DB00489,DB01235,68
DB00300,DB00231,1
DB12825,DB00433,40
DB00812,DB01409,1
DB00897,DB00215,2
DB00656,DB06216,5
DB00701,DB01171,0
DB00585,DB01161,37
DB05246,DB01591,7
DB06237,DB08865,0
DB00788,DB00213,1
DB00996,DB01062,7
DB00091,DB01154,3
DB13857,DB13952,3
DB11273,DB06595,3
DB01251,DB06414,0
DB02703,DB00158,1
DB04825,DB08807,25
DB00468,DB00177,0
DB06736,DB00780,1
DB00737,DB00740,2
DB01072,DB00300,11
DB01223,DB01587,0
DB00519,DB00559,13
DB00997,DB00188,0
DB11689,DB00827,0
DB04953,DB00544,5
DB04951,DB13003,2
DB00115,DB01215,1
DB00289,DB04948,12
DB09288,DB00759,1
DB09068,DB12093,2
DB08912,DB00933,5
DB01253,DB08815,2
DB00593,DB00752,2
DB00818,DB00755,0
DB12483,DB09299,0
DB09213,DB13874,0
DB00959,DB00444,3
