Drug1_ID,Drug2_ID,Y,Neg samples
DB01261,DB01026,46,DB01194$t
DB01580,DB00277,13,DB08911$h
DB00363,DB00813,48,DB00865$h
DB00427,DB01621,48,DB00982$t
DB09053,DB00945,48,DB00967$t
DB00752,DB01171,48,DB01229$t
DB00624,DB01023,46,DB01238$t
DB00715,DB09167,48,DB06152$t
DB01173,DB00189,15,DB09488$t
DB00349,DB00254,46,DB00849$t
DB00385,DB01050,71,DB00698$h
DB00341,DB00934,48,DB01169$h
DB09280,DB01240,74,DB00319$t
DB01226,DB01028,20,DB00881$t
DB00244,DB00939,56,DB00811$h
DB06288,DB01622,35,DB00370$h
DB00690,DB00653,15,DB00936$h
DB01440,DB06216,48,DB00603$t
DB00813,DB04953,48,DB00670$h
DB00476,DB01433,63,DB01263$t
DB00211,DB00752,70,DB09123$t
DB00571,DB06826,59,DB08983$h
DB00494,DB00906,48,DB01255$h
DB00371,DB00268,31,DB00797$t
DB01235,DB09065,72,DB08882$h
DB00412,DB01609,72,DB00888$h
DB01220,DB00541,72,DB09555$h
DB01236,DB04896,48,DB06817$t
DB01320,DB00363,74,DB00755$t
DB00575,DB01018,48,DB01057$t
DB08918,DB06262,84,DB00717$t
DB01159,DB09085,48,DB12532$h
DB00645,DB01028,48,DB04896$h
DB00586,DB00544,72,DB00670$h
DB01239,DB01202,48,DB09049$h
DB00500,DB00884,48,DB00471$h
DB00448,DB09048,72,DB01274$t
DB00897,DB09345,48,DB01200$h
DB01600,DB00035,48,DB00319$h
DB01186,DB00818,48,DB07615$h
DB01268,DB00227,46,DB00715$t
DB00264,DB00967,72,DB12070$t
DB00872,DB00398,72,DB00539$h
DB06616,DB00283,72,DB11126$h
DB05271,DB00695,48,DB01332$t
DB01053,DB08880,72,DB01366$t
DB00215,DB05294,32,DB06212$h
DB00207,DB01059,19,DB00338$h
DB00564,DB00679,3,DB00234$h
DB01243,DB01023,48,DB01124$t
DB00230,DB00740,69,DB00301$t
DB09561,DB09275,66,DB08871$t
DB00476,DB00813,48,DB06274$t
DB00936,DB09288,48,DB00910$h
DB08880,DB00846,48,DB00325$t
DB01021,DB00804,72,DB00408$t
DB09555,DB00477,46,DB08970$h
DB00502,DB00653,15,DB09209$h
DB01014,DB01092,74,DB08865$h
DB06216,DB01068,48,DB00903$h
DB06016,DB05812,72,DB09137$h
DB01030,DB00584,72,DB00712$t
DB01394,DB02703,72,DB00806$t
DB00425,DB00619,46,DB09256$h
DB04846,DB00870,36,DB13783$t
DB00263,DB01076,48,DB00896$h
DB00865,DB00593,69,DB06770$t
DB01126,DB00220,72,DB01259$t
DB01009,DB01137,26,DB01324$h
DB00772,DB00195,53,DB00256$h
DB00364,DB00910,72,DB00442$t
DB00237,DB01154,48,DB00699$t
DB00968,DB01029,48,DB01587$h
DB11614,DB08816,46,DB00909$t
DB00337,DB09218,48,DB01253$t
DB00968,DB06712,59,DB06774$t
DB01418,DB00343,46,DB01130$t
DB08882,DB06287,48,DB11609$t
DB00296,DB01068,48,DB00997$h
DB01216,DB00285,46,DB00631$t
DB00611,DB00035,48,DB01007$t
DB08827,DB01118,72,DB00656$t
DB01238,DB00619,72,DB00927$h
DB01609,DB01002,74,DB01280$t
DB00440,DB00625,46,DB00924$h
DB00497,DB01365,68,DB01190$t
DB01045,DB09555,3,DB01628$h
DB06403,DB01104,46,DB08807$t
DB00177,DB00270,48,DB01130$h
DB05265,DB01211,69,DB00761$h
DB00946,DB00713,5,DB08860$h
DB11828,DB06636,46,DB00457$h
DB06616,DB01016,72,DB12483$h
DB01466,DB00232,48,DB00504$h
DB00559,DB00661,72,DB05316$t
DB00264,DB01241,46,DB01604$t
DB01229,DB06292,48,DB00967$t
DB09076,DB09272,38,DB11691$t
DB01175,DB01087,19,DB00520$t
DB00796,DB00735,48,DB08912$h
DB00312,DB11915,3,DB00721$h
DB00208,DB01149,46,DB01437$h
DB01656,DB08868,33,DB09231$h
DB06770,DB05246,48,DB01384$h
DB00324,DB00880,82,DB01191$h
DB06148,DB00281,46,DB01143$h
DB06211,DB00313,74,DB00656$t
DB00734,DB00768,48,DB08932$h
DB01107,DB09291,46,DB06203$t
DB00697,DB05219,72,DB00709$t
DB00748,DB00675,46,DB01021$t
DB00818,DB01115,48,DB09285$t
DB06820,DB08860,48,DB00820$t
DB00404,DB08910,48,DB01259$h
DB00381,DB09274,10,DB01255$t
DB01618,DB00341,48,DB04846$t
DB08808,DB00989,53,DB00651$t
DB00908,DB00320,46,DB00251$t
DB00846,DB01059,48,DB00627$h
DB00629,DB01242,36,DB00255$h
DB00843,DB00268,46,DB01275$t
DB00418,DB00393,59,DB08883$h
DB00465,DB09212,48,DB00773$t
DB01615,DB00593,48,DB01331$h
DB00836,DB00678,46,DB00727$h
DB01559,DB00196,46,DB00242$h
DB09204,DB00749,36,DB01411$h
DB01236,DB00906,48,DB01603$h
DB08864,DB09074,72,DB09070$h
DB00353,DB09075,72,DB01264$t
DB01224,DB00014,19,DB01553$h
DB01041,DB00967,15,DB05015$h
DB00564,DB01192,3,DB01066$h
DB01418,DB13167,5,DB09076$h
DB08976,DB00500,48,DB04840$t
DB00321,DB01001,48,DB09078$h
DB00210,DB00887,28,DB00319$t
DB09026,DB09235,59,DB00844$t
DB00182,DB01142,75,DB00722$h
DB04839,DB01191,74,DB01047$h
DB00591,DB00774,82,DB06698$h
DB00788,DB00663,48,DB01426$h
DB00753,DB00599,48,DB01131$t
DB01357,DB00491,69,DB08991$t
DB00896,DB00890,72,DB06153$h
DB00797,DB01214,59,DB11915$h
DB09352,DB01069,75,DB00885$h
DB00323,DB01197,48,DB08799$h
DB00899,DB00494,48,DB00923$t
DB01628,DB01708,48,DB00014$t
DB00691,DB09038,48,DB00140$t
DB01045,DB00812,3,DB00596$h
DB09085,DB00765,31,DB00503$t
DB09204,DB00323,48,DB00959$h
DB00238,DB00320,3,DB00226$h
DB04855,DB08871,19,DB04878$h
DB00362,DB09232,48,DB00787$h
DB01065,DB00501,46,DB00404$t
DB09080,DB00322,46,DB00958$t
DB00180,DB00243,46,DB00709$t
DB09027,DB09462,72,DB06766$t
DB00919,DB00744,71,DB00850$h
DB06738,DB00736,46,DB00260$t
DB00751,DB00188,46,DB01438$t
DB01232,DB00557,19,DB00367$h
DB08880,DB08970,48,DB00517$h
DB09083,DB00436,81,DB01053$t
DB00477,DB00721,48,DB01158$h
DB00295,DB09015,48,DB04571$t
DB00276,DB01156,46,DB01406$h
DB06684,DB01267,48,DB00864$h
DB00266,DB00294,11,DB06262$h
DB00779,DB00390,57,DB00122$t
DB00219,DB00921,48,DB04953$h
DB01142,DB00496,46,DB11235$t
DB00181,DB04896,48,DB06794$h
DB01392,DB06702,76,DB00576$t
DB00988,DB00169,46,DB00760$t
DB00370,DB00208,46,DB01764$h
DB00216,DB00582,46,DB00327$t
DB00628,DB00091,46,DB00355$h
DB01403,DB01016,69,DB01007$t
DB00455,DB01072,46,DB01426$t
DB01609,DB04871,74,DB04967$t
DB00912,DB06203,8,DB11348$h
DB00669,DB00614,46,DB00862$t
DB09117,DB00404,15,DB02300$t
DB09078,DB01268,19,DB11231$h
DB01137,DB01104,19,DB00887$t
DB00238,DB11574,3,DB06196$h
DB11737,DB06717,72,DB04894$t
DB01607,DB00684,74,DB00436$t
DB01224,DB01080,48,DB00180$t
DB06723,DB00153,72,DB00820$t
DB01426,DB00243,46,DB01168$t
DB00788,DB11921,48,DB00947$t
DB00946,DB01166,5,DB00776$h
DB06723,DB06781,2,DB01429$h
DB01174,DB09143,74,DB00426$h
DB01218,DB06708,19,DB00661$t
DB09030,DB08873,72,DB00412$t
DB00455,DB00169,46,DB06827$t
DB01409,DB01338,1,DB00273$t
DB08899,DB00764,74,DB02701$t
DB01410,DB05521,74,DB00542$h
DB00440,DB08820,72,DB01183$t
DB00774,DB01252,69,DB06704$t
DB00772,DB01273,48,DB06603$h
DB00390,DB00688,72,DB01131$t
DB01198,DB08865,72,DB00195$t
DB00219,DB00327,48,DB01089$t
DB01245,DB00684,39,DB00896$t
DB00631,DB00373,48,DB00903$h
DB06738,DB01324,48,DB05219$t
DB00814,DB00654,69,DB00303$h
DB01078,DB01611,72,DB00833$h
DB00820,DB00612,9,DB01170$h
DB08897,DB01062,1,DB05541$t
DB00674,DB01085,48,DB01600$h
DB00179,DB00511,57,DB01218$t
DB00309,DB00363,48,DB03756$t
DB00514,DB00736,46,DB06626$t
DB00757,DB00938,19,DB00211$t
DB00807,DB00321,48,DB01408$h
DB00974,DB06725,5,DB00948$t
DB00690,DB09225,48,DB09273$t
DB01024,DB01370,66,DB08909$h
DB00684,DB00469,71,DB06261$t
DB01578,DB01435,71,DB00624$t
DB01365,DB00366,75,DB00622$h
DB00312,DB01159,3,DB09285$h
DB04868,DB01182,72,DB01362$t
DB01172,DB00586,71,DB11915$t
DB00575,DB01118,46,DB00317$t
DB09143,DB00176,72,DB00297$h
DB00774,DB01067,69,DB00776$t
DB01045,DB05039,3,DB01615$h
DB00539,DB00104,19,DB01002$h
DB01283,DB00487,26,DB00948$t
DB08899,DB06739,74,DB01184$h
DB00391,DB00734,35,DB00229$h
DB01086,DB01080,48,DB00618$t
DB00280,DB09065,46,DB11239$h
DB00897,DB00455,48,DB00790$h
DB06402,DB00714,19,DB11613$t
DB01179,DB06717,72,DB09292$h
DB08899,DB00845,74,DB00408$t
DB00961,DB00625,48,DB00720$t
DB00615,DB06739,3,DB00537$h
DB00268,DB00903,48,DB01406$t
DB01184,DB01685,46,DB00950$t
DB01131,DB01263,46,DB01406$t
DB12364,DB06737,65,DB06203$h
DB01606,DB01172,74,DB01418$h
DB08815,DB00341,48,DB00446$h
DB06204,DB00908,46,DB12278$h
DB06201,DB01114,48,DB08874$t
DB01339,DB09093,20,DB01026$h
DB00956,DB01255,68,DB00761$h
DB09297,DB01167,46,DB00508$t
DB01210,DB00749,36,DB00660$t
DB01018,DB01235,29,DB00295$t
DB00327,DB00599,48,DB01248$h
DB09285,DB08984,48,DB00992$h
DB01218,DB00625,46,DB00986$h
DB05676,DB00673,72,DB00581$h
DB00802,DB01210,53,DB00793$t
DB00246,DB00412,69,DB00413$t
DB01614,DB09275,66,DB04861$h
DB01359,DB01288,13,DB00881$t
DB00353,DB00531,48,DB08994$h
DB13874,DB00496,46,DB06772$t
DB00975,DB00489,53,DB00804$h
DB00657,DB00654,59,DB00535$t
DB00800,DB00268,48,DB00554$h
DB00373,DB01097,36,DB00477$t
DB00564,DB01223,74,DB01416$t
DB08808,DB06802,36,DB00275$t
DB01351,DB00949,72,DB08967$h
DB00245,DB06697,46,DB00762$h
DB00206,DB01100,48,DB08967$t
DB00281,DB11609,48,DB11614$t
DB00598,DB01050,36,DB06717$h
DB00997,DB00257,46,DB01433$t
DB00310,DB01240,59,DB06696$h
DB06739,DB06826,69,DB04574$t
DB00395,DB00625,48,DB06800$t
DB09042,DB00623,48,DB01297$h
DB00203,DB00335,9,DB00775$h
DB08860,DB00907,72,DB01359$h
DB00393,DB00421,48,DB01018$h
DB00714,DB01367,48,DB00973$h
DB01130,DB06819,69,DB00722$h
DB00559,DB01193,59,DB00421$t
DB00238,DB04841,3,DB00809$h
DB00395,DB09119,46,DB01062$t
DB01656,DB00997,33,DB00978$t
DB06016,DB09054,46,DB09267$t
DB01580,DB00476,29,DB00955$t
DB00298,DB00409,48,DB01244$t
DB00604,DB01072,46,DB00493$t
DB00721,DB01114,48,DB00796$h
DB01174,DB00818,3,DB09241$h
DB01220,DB01234,72,DB00540$t
DB13167,DB09091,48,DB00613$h
DB00384,DB09167,46,DB01435$t
DB01628,DB01241,46,DB04878$t
DB01196,DB01167,46,DB00790$t
DB01037,DB01021,59,DB00891$t
DB05039,DB00620,82,DB03615$h
DB00252,DB00755,3,DB01367$h
DB01183,DB01132,46,DB00641$t
DB00857,DB00268,46,DB01273$h
DB01054,DB01020,48,DB09078$h
DB00312,DB00568,3,DB06402$h
DB01179,DB00208,46,DB00934$t
DB00193,DB00391,48,DB00330$h
DB00512,DB00328,72,DB00578$h
DB00899,DB00750,48,DB01085$h
DB00521,DB08932,59,DB01331$h
DB00312,DB01068,3,DB06800$h
DB09343,DB09389,69,DB00203$h
DB08822,DB09477,48,DB00480$t
DB00188,DB00178,48,DB09085$h
DB09049,DB06636,72,DB00240$h
DB00910,DB09048,72,DB06696$h
DB00949,DB01151,48,DB09093$h
DB00906,DB01202,48,DB00379$t
DB00449,DB00887,82,DB06699$h
DB00307,DB09238,46,DB01296$t
DB00974,DB04865,65,DB09124$h
DB01349,DB00688,48,DB00885$t
DB00321,DB00492,72,DB01348$h
DB08880,DB00310,69,DB13878$h
DB00780,DB00850,48,DB11994$t
DB09236,DB08931,59,DB01583$t
DB00273,DB00434,48,DB08901$t
DB11581,DB00243,72,DB01199$t
DB01595,DB00395,48,DB09167$h
DB00620,DB04573,72,DB01033$t
DB00243,DB01016,72,DB11079$t
DB09204,DB08931,48,DB11254$t
DB04839,DB00831,74,DB01624$t
DB01264,DB00367,74,DB00546$t
DB00370,DB01351,15,DB13167$t
DB01214,DB09063,53,DB00875$t
DB00613,DB00358,48,DB00851$t
DB00472,DB00758,10,DB08893$t
DB00972,DB00908,46,DB11268$t
DB00206,DB09118,48,DB06804$t
DB00690,DB12532,48,DB01255$h
DB01002,DB00421,48,DB13747$t
DB00936,DB00487,26,DB00948$t
DB00782,DB00657,48,DB01184$t
DB08931,DB08932,59,DB01253$h
DB00334,DB00907,46,DB01291$t
DB00614,DB01170,59,DB00763$h
DB01115,DB09118,72,DB00468$t
DB00321,DB00257,46,DB01243$t
DB00772,DB00264,53,DB00620$h
DB00502,DB00691,19,DB02546$h
DB09220,DB00214,59,DB00230$t
DB06016,DB00673,72,DB06268$h
DB00924,DB01254,72,DB09067$t
DB00502,DB00927,19,DB11691$h
DB00285,DB00449,84,DB00772$h
DB00187,DB01102,13,DB00514$h
DB01002,DB00584,48,DB08976$h
DB01014,DB00795,56,DB04841$h
DB08820,DB00673,72,DB00345$h
DB00427,DB08910,48,DB01415$t
DB00738,DB00936,8,DB09112$h
DB08918,DB01232,72,DB00452$h
DB09297,DB06290,72,DB01223$t
DB01395,DB01118,72,DB00827$t
DB08864,DB00320,72,DB00346$t
DB08881,DB00531,74,DB00790$h
DB01283,DB09138,48,DB00158$t
DB00278,DB00482,5,DB04868$h
DB01551,DB09009,48,DB08439$t
DB00877,DB01072,46,DB08901$t
DB09570,DB01012,46,DB01607$t
DB01041,DB06738,15,DB01422$h
DB00333,DB00842,15,DB01036$h
DB01600,DB00399,48,DB00932$t
DB00546,DB00834,72,DB00960$t
DB01253,DB06742,48,DB01097$t
DB09143,DB00283,72,DB08947$h
DB00350,DB06403,59,DB09297$h
DB00679,DB00810,72,DB00220$h
DB00921,DB00679,15,DB06701$h
DB01421,DB01024,71,DB00769$h
DB00997,DB00195,72,DB01291$t
DB09282,DB04846,59,DB00444$h
DB00393,DB00199,72,DB00528$t
DB01242,DB00006,72,DB01282$h
DB01114,DB00285,46,DB09076$t
DB00248,DB01580,18,DB00872$h
DB00608,DB00788,48,DB06767$h
DB00370,DB01023,46,DB00251$t
DB00564,DB00696,3,DB00639$h
DB00584,DB00977,74,DB00281$h
DB00875,DB01114,48,DB09134$h
DB00586,DB04552,48,DB00837$t
DB00604,DB01589,72,DB00523$h
DB00584,DB00905,59,DB01064$t
DB00589,DB01029,48,DB01369$h
DB00699,DB00829,48,DB06282$t
DB06217,DB08893,46,DB00267$h
DB00327,DB00292,48,DB05246$h
DB08991,DB01325,69,DB00184$t
DB00216,DB00745,46,DB08908$t
DB05039,DB09095,82,DB00284$t
DB00514,DB01254,72,DB00969$t
DB00248,DB09286,69,DB00415$t
DB08824,DB00937,44,DB06335$h
DB09570,DB01101,46,DB12001$t
DB01325,DB06700,54,DB01140$h
DB01355,DB01340,59,DB01326$h
DB00679,DB08822,48,DB01355$h
DB01588,DB00470,15,DB09065$t
DB00752,DB00232,48,DB00999$h
DB00433,DB01452,48,DB09223$t
DB01115,DB06595,46,DB01077$t
DB00588,DB09269,69,DB06193$h
DB00794,DB01151,3,DB00961$h
DB00752,DB01614,48,DB04930$t
DB00519,DB00905,59,DB00604$t
DB09079,DB01104,72,DB08987$t
DB00613,DB00951,72,DB00909$h
DB01119,DB00412,69,DB01214$h
DB00519,DB01359,48,DB01331$t
DB00835,DB00268,31,DB01610$t
DB00889,DB00907,46,DB00476$t
DB00641,DB12598,72,DB08922$h
DB00210,DB00304,69,DB01233$h
DB01190,DB01264,46,DB08987$t
DB00596,DB01021,82,DB01013$t
DB09034,DB00980,15,DB11989$t
DB01220,DB01110,72,DB08964$h
DB00418,DB01016,3,DB01074$h
DB06788,DB01261,69,DB09204$t
DB00263,DB01167,19,DB09293$t
DB06824,DB09146,74,DB06737$h
DB01392,DB01211,46,DB08815$h
DB00794,DB08918,3,DB01264$h
DB00264,DB06287,72,DB00672$t
DB00682,DB00279,5,DB01206$h
DB08981,DB00741,48,DB00359$t
DB00783,DB08881,72,DB01076$t
DB01168,DB01615,48,DB09008$t
DB01238,DB01567,48,DB00483$h
DB01283,DB01137,26,DB12924$t
DB01008,DB00091,72,DB00838$h
DB00344,DB01156,46,DB00935$h
DB02709,DB00936,48,DB06827$h
DB00337,DB01149,46,DB00821$t
DB06696,DB00605,71,DB06786$h
DB00393,DB00905,59,DB13925$t
DB00959,DB01021,82,DB01194$h
DB00424,DB00193,48,DB00253$t
DB00312,DB00904,3,DB00940$h
DB00210,DB09449,56,DB01194$h
DB01065,DB00765,31,DB00260$t
DB00898,DB01075,15,DB00142$h
DB09215,DB00884,48,DB01364$h
DB03585,DB01324,69,DB00626$h
DB00821,DB02187,48,DB00869$h
DB01256,DB09330,72,DB04575$t
DB09279,DB00700,67,DB00362$h
DB01118,DB01367,48,DB00561$h
DB01291,DB00999,82,DB00541$t
DB01100,DB06690,48,DB00704$h
DB06725,DB09063,72,DB01170$h
DB00762,DB01026,72,DB00816$h
DB09216,DB06781,48,DB06589$h
DB00477,DB00169,46,DB00152$t
DB00324,DB01057,48,DB01104$t
DB00204,DB06717,72,DB00585$t
DB00589,DB00752,46,DB08796$h
DB00712,DB08981,48,DB01169$t
DB09084,DB08971,48,DB09283$t
DB01220,DB01154,3,DB11636$h
DB01544,DB04841,48,DB01205$t
DB00732,DB04743,20,DB00898$t
DB09075,DB09065,72,DB09118$h
DB01339,DB00694,39,DB00861$h
DB01071,DB13025,81,DB00552$h
DB00327,DB00903,48,DB00615$t
DB11915,DB06290,72,DB09000$h
DB00997,DB00796,72,DB09091$h
DB00477,DB01263,46,DB00512$t
DB00531,DB06819,14,DB01081$h
DB00435,DB00708,48,DB13139$t
DB00865,DB09065,46,DB02513$t
DB01045,DB01128,3,DB08875$h
DB00584,DB00461,48,DB08828$t
DB00898,DB00907,15,DB00237$h
DB01452,DB13872,48,DB00324$t
DB00351,DB00412,69,DB09068$t
DB00231,DB09120,46,DB00788$t
DB00672,DB00549,46,DB08439$t
DB06736,DB08984,48,DB09137$h
DB00204,DB08820,72,DB01189$t
DB06636,DB08933,72,DB00763$t
DB00740,DB00208,46,DB00770$t
DB09080,DB00338,46,DB00684$t
DB07615,DB00903,28,DB00863$t
DB00735,DB00896,48,DB08875$t
DB06738,DB00470,15,DB08941$t
DB00661,DB04876,46,DB08882$h
DB00377,DB06290,72,DB13925$t
DB01238,DB00966,59,DB06412$h
DB00615,DB00539,74,DB00216$h
DB08912,DB01171,74,DB00357$t
DB09039,DB00715,72,DB11737$h
DB00818,DB01254,72,DB00330$h
DB01236,DB00727,48,DB00832$t
DB00421,DB01014,36,DB00939$h
DB00813,DB08820,72,DB00940$h
DB00593,DB06700,48,DB00453$t
DB06738,DB00985,48,DB05812$h
DB09280,DB00457,74,DB08800$h
DB00571,DB06700,72,DB00643$t
DB00952,DB04946,48,DB00389$h
DB01135,DB00781,20,DB00978$h
DB08867,DB08865,72,DB06282$t
DB00864,DB01167,72,DB00441$t
DB01192,DB01587,48,DB00366$h
DB00588,DB00843,48,DB06795$h
DB01193,DB06764,48,DB00541$h
DB01166,DB09048,72,DB00284$t
DB01214,DB06403,59,DB01297$h
DB09280,DB01105,3,DB08906$h
DB01355,DB00519,59,DB09198$t
DB00683,DB01215,48,DB01268$h
DB08873,DB00497,48,DB11106$t
DB00607,DB09236,3,DB00778$h
DB00006,DB00655,11,DB11136$h
DB00228,DB01567,48,DB00314$t
DB00280,DB01263,46,DB00006$t
DB00207,DB00543,19,DB01008$h
DB09283,DB09543,48,DB08806$t
DB00344,DB00450,15,DB00869$h
DB00427,DB00765,31,DB03619$t
DB01410,DB00843,48,DB09017$h
DB00472,DB01615,48,DB00982$t
DB00770,DB11079,48,DB09218$t
DB00253,DB00310,82,DB01195$h
DB00379,DB00220,46,DB04911$t
DB08807,DB13167,36,DB06262$t
DB01041,DB01209,15,DB06781$h
