Drug1_ID,Drug2_ID,Level,Y,class
DB0896,DB0328,Moderate,1,2
DB0935,DB1302,Moderate,1,1
DB0434,DB0400,Moderate,1,1347
DB0332,DB0379,Major,0,8
DB0838,DB1288,Moderate,1,5
DB0698,DB0855,Moderate,1,67
DB1005,DB1255,Moderate,1,7
DB0299,DB1526,Moderate,1,15
DB1051,DB0325,Moderate,1,7
DB1407,DB0657,Moderate,1,1
DB1036,DB0511,Moderate,1,5
DB1552,DB1210,Moderate,1,378
DB0971,DB0171,Major,0,5
DB1115,DB0005,Major,0,57
DB1192,DB1474,Moderate,1,14
DB0876,DB1533,Moderate,1,1278
DB1434,DB0186,Moderate,1,137
DB1434,DB0514,Major,0,127
DB1431,DB0519,Moderate,1,2
DB0835,DB1031,Moderate,1,8
DB0877,DB0654,Moderate,1,5
DB0274,DB1165,Moderate,1,5
DB1485,DB1419,Moderate,1,57
DB0090,DB1149,Major,0,15
DB0400,DB0804,Moderate,1,1347
DB1190,DB0792,Moderate,1,13478
DB0373,DB1019,Moderate,1,5
DB0239,DB1105,Moderate,1,5
DB0955,DB0872,Minor,2,1
DB0568,DB0110,Moderate,1,5
DB0066,DB1085,Major,0,5
DB1071,DB0549,Major,0,5
DB0096,DB1555,Moderate,1,7
DB0935,DB0083,Moderate,1,5
DB0029,DB0772,Moderate,1,7
DB0373,DB0849,Moderate,1,5
DB1040,DB0526,Moderate,1,5
DB1550,DB1317,Minor,2,17
DB1478,DB1506,Moderate,1,7
DB1483,DB1485,Moderate,1,7
DB1488,DB1175,Major,0,12
DB0347,DB1055,Minor,2,12
DB0843,DB0285,Moderate,1,17
DB1390,DB0868,Moderate,1,12
DB0288,DB0547,Moderate,1,38
DB0571,DB0567,Moderate,1,5
DB0303,DB0841,Minor,2,5
DB0411,DB1490,Moderate,1,37
DB1398,DB1128,Moderate,1,5
DB0267,DB1394,Moderate,1,5
DB1011,DB0400,Moderate,1,1347
DB0750,DB0609,Minor,2,37
DB0695,DB1185,Moderate,1,2
DB0598,DB1184,Minor,2,13
DB0457,DB1419,Moderate,1,5
DB1216,DB0691,Moderate,1,1347
DB0149,DB1224,Moderate,1,1347
DB0727,DB0382,Moderate,1,48
DB1278,DB0876,Moderate,1,1278
DB0910,DB1105,Moderate,1,15
DB0913,DB0712,Moderate,1,2
DB0747,DB1054,Moderate,1,28
DB1259,DB0367,Minor,2,1
DB0326,DB1288,Moderate,1,5
DB1169,DB0781,Moderate,1,1
DB1284,DB0608,Minor,2,5
DB1534,DB0789,Moderate,1,5
DB1493,DB0588,Moderate,1,1
DB0492,DB1015,Moderate,1,1
DB0308,DB1114,Major,0,5
DB1285,DB1102,Moderate,1,14
DB1402,DB0497,Moderate,1,17
DB1457,DB1296,Moderate,1,57
DB1239,DB0876,Moderate,1,1278
DB1550,DB1553,Moderate,1,7
DB0883,DB1238,Moderate,1,7
DB0512,DB0046,Moderate,1,17
DB1365,DB0552,Moderate,1,23
DB0459,DB1415,Major,0,8
DB0400,DB1526,Major,0,13457
DB0960,DB1275,Moderate,1,2
DB1261,DB1019,Major,0,5
DB1114,DB0558,Moderate,1,5
DB0540,DB0186,Moderate,1,137
DB1327,DB0733,Major,0,58
DB0656,DB0611,Minor,2,137
DB0917,DB0018,Moderate,1,18
DB0400,DB0063,Moderate,1,1347
DB1190,DB1155,Moderate,1,13478
DB0332,DB0304,Major,0,1
DB0908,DB1401,Moderate,1,7
DB0282,DB1085,Major,0,56
DB0695,DB0284,Major,0,3
DB0032,DB0104,Moderate,1,1
DB0963,DB1415,Moderate,1,18
DB1093,DB1507,Major,0,5
DB0455,DB0709,Major,0,5
DB0185,DB0921,Moderate,1,7
DB0877,DB0901,Moderate,1,37
DB0889,DB1103,Moderate,1,56
DB1423,DB0848,Moderate,1,17
DB0193,DB0185,Moderate,1,7
DB1447,DB1288,Moderate,1,15
DB0330,DB0342,Moderate,1,135
DB0311,DB0230,Moderate,1,37
DB0230,DB0074,Moderate,1,8
DB0422,DB0996,Moderate,1,13
DB1365,DB1213,Moderate,1,23
DB1101,DB0811,Moderate,1,7
DB0694,DB1296,Moderate,1,7
DB0386,DB0402,Moderate,1,1347
DB0613,DB1325,Moderate,1,1
DB0021,DB1073,Moderate,1,7
DB0606,DB1376,Major,0,357
DB0373,DB0217,Moderate,1,1
DB0157,DB1263,Moderate,1,5
DB0112,DB0219,Moderate,1,7
DB1168,DB0549,Moderate,1,15
DB0470,DB0063,Moderate,1,3
DB0146,DB1170,Moderate,1,5
DB0904,DB0434,Moderate,1,1
DB0264,DB0188,Moderate,1,5
DB1272,DB1116,Moderate,1,7
DB0957,DB0451,Moderate,1,5
DB0763,DB1345,Major,0,5
DB0774,DB1160,Moderate,1,37
DB1204,DB1449,Moderate,1,18
DB0516,DB0960,Moderate,1,127
DB1327,DB1317,Moderate,1,15
DB0946,DB0129,Minor,2,136
DB0398,DB0154,Moderate,1,2
DB1465,DB1029,Moderate,1,2
DB0785,DB0217,Moderate,1,14
DB1216,DB0400,Moderate,1,1347
DB0944,DB0210,Moderate,1,1
DB0670,DB0201,Moderate,1,35
DB0195,DB0299,Minor,2,1
DB0700,DB0090,Major,0,5
DB1490,DB1408,Moderate,1,37
DB1535,DB0373,Moderate,1,5
DB0182,DB0154,Moderate,1,2
DB0719,DB0110,Major,0,5
DB0299,DB0115,Minor,2,17
DB0067,DB0952,Moderate,1,1
DB1145,DB0837,Moderate,1,1
DB0855,DB1048,Major,0,7
DB1190,DB0539,Moderate,1,134578
DB1461,DB1340,Moderate,1,1
DB0554,DB0866,Moderate,1,18
DB0524,DB0709,Major,0,5
DB0498,DB0211,Moderate,1,12
DB0098,DB0663,Moderate,1,137
DB0427,DB1294,Moderate,1,3
DB0823,DB1311,Moderate,1,37
DB0873,DB0400,Moderate,1,123478
DB0149,DB1261,Moderate,1,1347
DB1290,DB1507,Major,0,5
DB0303,DB0920,Moderate,1,5
DB1457,DB1314,Major,0,5
DB0096,DB0946,Minor,2,1367
DB0617,DB0511,Moderate,1,57
DB0452,DB0355,Moderate,1,7
DB0311,DB0286,Moderate,1,37
DB0630,DB0691,Moderate,1,1347
DB0446,DB0858,Moderate,1,37
DB1402,DB1366,Minor,2,7
DB0656,DB0396,Minor,2,13
DB1095,DB0367,Moderate,1,1
DB0530,DB0585,Major,0,35
DB0691,DB0423,Moderate,1,1347
DB0750,DB1210,Moderate,1,378
DB0879,DB1292,Moderate,1,1
DB0987,DB0186,Moderate,1,137
DB1298,DB1170,Major,0,58
DB1465,DB0876,Moderate,1,1278
DB1425,DB1251,Moderate,1,1
DB1121,DB0724,Moderate,1,8
DB0303,DB1210,Moderate,1,378
DB1110,DB0837,Moderate,1,16
DB0421,DB0080,Moderate,1,23
DB0691,DB0793,Major,0,13457
DB0699,DB0813,Minor,2,15
DB0945,DB1449,Moderate,1,18
DB1437,DB1093,Moderate,1,5
DB0724,DB1544,Moderate,1,8
DB1063,DB1288,Moderate,1,45
DB0669,DB0893,Minor,2,5
DB0332,DB0112,Moderate,1,7
DB0986,DB0285,Moderate,1,17
DB1440,DB0080,Major,0,2
DB0377,DB1257,Major,0,5
DB1052,DB0862,Moderate,1,1
DB1228,DB0684,Moderate,1,5
DB1456,DB0734,Moderate,1,8
DB0514,DB0836,Minor,2,127
DB0739,DB1502,Moderate,1,8
DB0368,DB0550,Moderate,1,3
DB0700,DB1376,Moderate,1,35
DB1143,DB0712,Moderate,1,27
DB1376,DB0626,Moderate,1,235
DB1534,DB0472,Minor,2,5
DB0459,DB0867,Major,0,12
DB0884,DB1179,Moderate,1,4
DB0149,DB1391,Moderate,1,1347
DB0955,DB0346,Moderate,1,5
DB1541,DB1394,Moderate,1,2
DB0866,DB0522,Major,0,18
DB0037,DB0726,Moderate,1,8
DB1037,DB1559,Moderate,1,1
DB0002,DB0679,Major,0,5
DB1246,DB1501,Moderate,1,5
DB1457,DB0946,Minor,2,1356
DB0021,DB1085,Major,0,5
DB1033,DB0386,Moderate,1,1
DB1286,DB0526,Moderate,1,15
DB1145,DB1436,Moderate,1,16
DB1550,DB0581,Moderate,1,7
DB0377,DB0059,Major,0,5
DB0097,DB0872,Moderate,1,1
DB1318,DB0346,Moderate,1,5
DB0202,DB0075,Moderate,1,578
DB1098,DB0842,Moderate,1,4
DB0588,DB0334,Moderate,1,5
DB1351,DB0936,Moderate,1,34
DB0813,DB0767,Major,0,15
DB0914,DB0418,Moderate,1,78
DB0086,DB0171,Moderate,1,5
DB1133,DB1219,Moderate,1,1
DB0420,DB1069,Moderate,1,3
DB1468,DB1230,Moderate,1,1347
DB0229,DB0358,Moderate,1,5
DB1051,DB0469,Moderate,1,37
DB0482,DB0264,Moderate,1,5
DB0517,DB0356,Moderate,1,5
DB0276,DB0378,Moderate,1,35
DB1458,DB0022,Moderate,1,5
DB0149,DB1484,Moderate,1,1347
DB1005,DB0201,Major,0,5
DB0530,DB0478,Major,0,3
DB0205,DB0224,Moderate,1,13
DB0285,DB0531,Moderate,1,7
DB1366,DB1475,Minor,2,6
DB1274,DB0710,Moderate,1,5
DB0549,DB0241,Moderate,1,5
DB0974,DB0379,Moderate,1,8
DB0761,DB0186,Moderate,1,137
DB1369,DB0923,Moderate,1,3
DB1115,DB0312,Moderate,1,7
DB0691,DB1085,Major,0,13457
DB1010,DB0626,Moderate,1,2
DB0890,DB1328,Moderate,1,15
DB0289,DB0349,Moderate,1,7
DB1084,DB1547,Moderate,1,23
DB0704,DB1174,Moderate,1,17
DB0996,DB1400,Moderate,1,13
DB0047,DB1309,Moderate,1,28
DB0657,DB0469,Moderate,1,13
DB0080,DB0036,Moderate,1,25
DB0889,DB0105,Major,0,6
DB0411,DB0536,Moderate,1,7
DB0517,DB0366,Moderate,1,5
DB0098,DB0704,Moderate,1,7
DB1155,DB0737,Moderate,1,8
DB1376,DB0667,Moderate,1,135
DB0557,DB1047,Moderate,1,5
DB1542,DB0957,Major,0,5
DB0417,DB0709,Moderate,1,5
DB0476,DB1512,Moderate,1,7
DB1089,DB1103,Moderate,1,5
DB1049,DB0178,Moderate,1,3
DB1078,DB0931,Moderate,1,78
DB0958,DB0375,Major,0,5
DB0118,DB0684,Moderate,1,5
DB0516,DB0335,Major,0,127
DB0100,DB0176,Moderate,1,5
DB0048,DB0620,Major,0,3
DB0802,DB0004,Major,0,5
DB1443,DB0139,Moderate,1,7
DB0701,DB0690,Moderate,1,17
DB0271,DB0400,Minor,2,1347
DB1114,DB0385,Minor,2,5
DB0377,DB0360,Moderate,1,5
DB0087,DB0405,Moderate,1,12
DB0774,DB0813,Moderate,1,13
DB0590,DB0939,Moderate,1,3
DB1465,DB0264,Moderate,1,25
DB1531,DB0448,Moderate,1,1
DB1259,DB0036,Major,0,5
DB0530,DB0346,Major,0,35
DB0227,DB1057,Moderate,1,7
DB0308,DB1437,Major,0,5
DB0417,DB0511,Moderate,1,5
DB0678,DB1525,Major,0,56
DB1192,DB0892,Moderate,1,14
DB0364,DB1063,Moderate,1,4
DB0233,DB1447,Moderate,1,1
DB0397,DB1447,Minor,2,13
DB0233,DB0632,Moderate,1,8
DB0069,DB0913,Moderate,1,1
DB0895,DB0858,Moderate,1,1
DB1145,DB1288,Moderate,1,5
DB0843,DB0792,Moderate,1,1
DB1468,DB1058,Minor,2,1347
DB0151,DB1359,Minor,2,1
DB0748,DB1288,Moderate,1,5
DB1368,DB1022,Moderate,1,5
DB0614,DB1128,Moderate,1,28
DB1470,DB0529,Moderate,1,1347
DB1449,DB1532,Moderate,1,178
DB1377,DB0400,Moderate,1,1347
DB0075,DB0863,Major,0,58
DB0936,DB0720,Moderate,1,34
DB1249,DB0690,Moderate,1,7
DB0802,DB1149,Major,0,1
DB0141,DB0732,Moderate,1,8
DB0614,DB0920,Moderate,1,258
DB0708,DB0505,Moderate,1,5
DB1423,DB0724,Moderate,1,78
DB0205,DB0523,Major,0,13
DB1086,DB0339,Moderate,1,5
DB0823,DB0299,Moderate,1,137
DB1457,DB1103,Major,0,5
DB0570,DB0361,Moderate,1,15
DB0469,DB1506,Moderate,1,37
DB1149,DB0382,Moderate,1,14
DB0201,DB0159,Major,0,5
DB0517,DB0547,Moderate,1,358
DB1229,DB1403,Major,0,5
DB1392,DB0186,Major,0,137
DB1431,DB0691,Minor,2,12347
DB0524,DB0567,Moderate,1,5
DB1294,DB0186,Moderate,1,137
DB0271,DB0647,Moderate,1,5
DB0233,DB1102,Moderate,1,4
DB0775,DB0051,Moderate,1,3
DB0958,DB0300,Moderate,1,4
DB0075,DB0224,Moderate,1,5
DB0565,DB0755,Moderate,1,17
